Book Name,Fiction
Rich Man's Coffin,True
The military map,False
A place called Jeopardy,True
Brain puzzler's delight,False
Corneille,False
"Journael, ende Historische Verhael, van de treffelijcke reyse, gedaen naer Oost-Indien, ende China, met elf schepen",False
No and Yes,False
Die Agada der palästinensischen Amoräer,False
Decreto,False
Orbital Cloud,True
De aard der reclame van den verkooper,False
Trains,False
Language Works,False
La via degli dei,False
Frederick Carder's Steuben Glass,False
History of the state of New-York,False
Chapter 91,False
O outono-colleca̧o de poesias,False
Producing a play,False
Landscapes,False
Grandma's elephants,True
A history of the Pulitzer Prize plays,False
Brown Bear gets in shape,True
De gesunne Karkenslaap un annere Smüüstergeschichten,False
The Only Way,False
Life and adventures of Alexander Dumas.,False
Rape of Hallowee̓n,False
Flat tax revolution,False
The Painted Face,True
500 recettes pour bébé,False
The human journey,False
Laser excited atomic fluorescence in a miniature glow discharge atom reservoir,False
Look out for the pink hibiscus mealybug,False
How to Get the Teaching Position You Want!,False
Colloquial French - I. French fluency exercises.,False
"Ali ibn Rabban at-Tabari, ein persischer Arzt des 9 Jahrhunderts",False
Z pohádky do pohádky,False
New Zealand,False
The Grass is Always Greener,False
Some remembered words,False
Sound on sound,True
Form without formula,False
"Comparative history, 1878-1914",False
A history and description of the modern dogs of Great Britain and Ireland.,False
We dance,True
The Goodbye Cancer Garden,True
Jung und Alt,False
One-eyed kings,False
From the limbo of the past,False
The promise girls,True
Traité théorique et pratique de la législation sur les accidents du travail. --,False
Correspondence,False
Sakharna,False
The trial of Adolf Eichmann.,False
Bicycle camping,False
Seventeenth century studies.,False
A description of the part of Devonshire bordering on the Tamar and the Tavy,False
Accounting and finance,False
The Army of the Potomac,False
Victorious Thinking,False
The Land of the Moors: A Comprehensive Description,False
Zhongguo xin chang tai,False
Annual report of the Medical Department,False
Kuai le nu hai gu shi,False
Henrik Plenge Jakobsen | KAPITAL MELENCOLIA,False
Count Antonov's heir,False
Teletubbies Play Hide-And-Seek!,True
Origami,False
Los cuatro grandes de la literatura chilena durante el siglo 20,False
"Regem regum, et dominum dominantium ...",False
Die Karlsschuler: Schauspiel in fünf Acten,False
Parlare l'italiano,False
Christmas Carol,True
Printcrafts for fun and profit,False
Taking sides,False
Comfort from the Bible,False
I Believe In Miracles,False
Alegacion juridica en que se demuestra la justicia,False
Catastrophe! Ouragan,False
Life in the Argentine Republic in the days of the tyrants =,False
Die Organe des Sehens in den verschiedenen Thierkreisen,False
Skvozʹ setochku shli︠a︡py,False
"Des abcès rétro-pharyngiens idiopathiques, ou, De l'angine phlegmoneuse",False
Arkansas (It's My State),False
The Writer's Presence,False
Companies we keep,False
Patterns of the fantastic II,True
The art of abundance,False
Size Matters,False
Vertige dans la bouche(Le),False
Rede über die Bedeutung ophthalmologischer Studien,False
Rules of the road,True
Shells of Maine.,False
"Land development plan, Farmville, North Carolina",False
Finance 510,False
Common land and inclosure.,False
Erotische Briefe der griechischen Antike.,False
Tricky Detective Puzzles,False
Feng yu mei nan he,True
"The Royal Albert Institution, Lancaster",False
Produced and directed by Dan Curtis,False
Indiana; a history,False
"[Pharmako-basanos]: or, the touch-stone of medicines. Discovering the vertues of vegetables, minerals, and animals, by their tastes and smells",False
"Joshua, his life and times.",False
World's greatest practical jokes,False
Men of the knotted heart,False
The Confessions of J.J. Rousseau: With The Reveries of the Solitary Walker,False
Preservation of Photographs (Kodak publication ; no. F-30),False
Manuel de l'instituteur catholique de la province de Québec \,False
Edvard Grieg et la musique scandinave.,False
Wilderness rivers of America,False
Consecration,False
Songs of love and war,False
Barnard's universal cipher code,False
A list of standard and fancy varieties of gladioli,False
Publications of the Office of Experiment Stations,False
Bericht der Naturforschenden Gesellschaft zu Bamberg,False
Killer Whales (Whale Discovery Library),False
Remarks on the penal clauses of the Nova Scotia Medical Act,False
Creole echoes,True
Mathematics of Kalman-Bucy filtering,False
Pioneering American Computer Geniuses (Inspiring Collective Biographies),True
Designing Solutions For Microsoft Sharepoint 2010 Making The Right Architecture And Implementation Decisions,False
A little dahlia roster [and price list],False
Perú,False
Journals of the Legislative Assembly of the Province of Ontario.,False
The ghost that haunted itself,True
Pumping plastic,True
"The  merry men, and other tales and fables",True
The story of the Red book of Appin,False
Les chakras,False
The Diary of Samuel Pepys,False
原爆回想,False
Library windows,False
Antrim's orange,True
The art of Egypt,False
"Dynamics, incomplete information, and industrial economics",False
Bücherkunde der sassisch-niederdeutschen Sprache,False
Building family-school partnerships to improve student outcomes,False
Houseful of laughter,False
Ancient records of Assyria and Babylonia,False
E-commerce law,False
Exposition Daumier,False
All heaven in a rage,False
Tibetan art,False
Jo Coenen,False
Men and monuments on the East African coast,False
The magical math book,False
Journal d'un voyage aux mers polaires,False
Moineau,False
Christology and Personality,False
Vermont backroads,False
Cover up,True
Where speech ends,True
Dog ticks and spotted fever,False
"Varias poesias sagradas, y profanas",False
French cinema,False
"Demetrius and Enanthe, being The humorous lieutenant",False
Les énigmes des Borgia,False
"Look out, Patrick!",True
Memoirs of the Prince de Talleyrand,False
Timofe Nikolaevich Granovsk.,False
Gathering history,False
Walking arm-in-arm to resolve the issue of on-reserve matrimonial real property,False
The eighteenth century,False
Southland in Colour,False
Asian vegetables,False
"The home pro brick, concrete, and stonework guide",False
First hit of the season,True
Three archbishops of Milwaukee,False
"Instructions and devotions for performing the novena, or, The nine days' devotion to St. Francis Xavier",False
Medical record,False
Détente in Southern Africa,False
When Sheep Sleep,True
[Report 1960],False
Olympic Risks,False
Hysterical Tears,False
Scotland,False
False alarm,False
"A sporting Quixote, or, The life and adventures of the Honble. Augustus Fitzmuddle, afterwards Earl of Muddleton",False
Handbook of primary care medicine,False
Die quellen and der historische werth der fränkischen Trojasage ...,False
"The thirties: fiction, poetry, drama",False
Scarlett Greene,True
Labor dictionary,False
Physical Therapy & Health Sciences,False
The new family prayer book,False
Russia on our minds,False
William Henry Harrison,False
"Friction électro-magnétique, administrée à Frére Jacques [Poilroux]",False
"Wen hua, quan li yu guo jia",False
Chŏngsurok,False
Paxton's Flower Garden,False
Buying a home,False
Sama︠i︡a luchsha︠i︡a kniga po vospitani︠i︡u deteĭ,False
St. Solifer with other worthies and unworthies,False
Naeui lime orange namu,False
Introduction to linear models,False
Educational evaluation,False
Whs-Two Greedy Italians Eat Italy,False
Zhongguo jin dai di shi chang fa yu yu jing ji zeng zhang,False
Mystère et gueule de loup,False
Eyestone,False
On life & letters,True
Business planning cluster,False
Super Science Activities,False
Student aspirations and attitudes in the first year of the revised high school program,False
Domino,True
Publishers Directory,False
"A manual of chemistry: Containing the Principal Facts of the Science, Arranged in the Order in ...",False
Spanish,False
Incubation,False
Carrière et vie 20,False
The Business Student's Handbook,False
The riddle of power,False
History of the house.,False
Puebla,False
Bing he,False
Some do,True
"Master Court Officer Exam, 10th edition",False
In search of an East Asian development model,False
Anointed in the spirit,False
"Methods of data collection and water-quality data for Standley Lake, Jefferson County, Colorado, 1989-90",False
The astrologer's handbook,False
A brief notice of the disease popularly termed puerperal fever,False
Classifying infinitely divisible distributions by functional equations,False
Murder observed,True
Der Freiheitskampf Nordamerikas und der Burenkrieg,False
When labour rules,False
The Lion & the Mouse Little Classics,False
Cowboy blues,True
Josiah Wedgwood and the potteries,False
Zi chan pei zhi ru men,False
The trend in food and drug legislation,False
The suburban myth,False
African colonization,False
In time of war,False
MR  China Pk,False
"Good-bye, Jim",True
Too many godmothers,True
Recent climatic change,False
Selected prose of T. S. Eliot,True
Our perennial list,False
"An Essay on the Slavery and Commerce of the Human Species: Particularly the African, Translated ...",False
Ty Cobb,False
Chu ji ying yu kao shi zhi nan,False
Men'eki kakumei,False
I love you always,True
"La politique universelle, décrets de l'avenir",False
American values : opposing viewpoints,False
Film in Five Seconds,True
Du Herr bist Kraft und Leben,False
Right-of-way,False
McPoems,True
The art of North America.,False
Tilkommende ting sporgsmaalog svar...,False
"Disputatio medica inauguralis, de balnei et affusionis usu, in quibusdam morbis",False
The age of the dinosaurs,False
Eternal vigilance,True
Poétique de la prose (choix),True
A domestic affair,False
The Sky Is Always Blue,False
Let's get it on,False
Jesus the Savior,False
Problems in systematics of parasites.,False
Hamlet (Spanish Edition),False
I saw Booth shoot Lincoln,False
The Queen Makes A Scene,True
Fabulous Stamped Frames,False
Commercial and Debtor-Creditor Law,False
Avionics the Story and Technology of Aviation Electronics,False
CRIMES OF THE HEART - 13 SIZZLING CONFESSIONS AND..... (TRUE CONFESSIONS),False
Dian gong ji neng shi xun zhi dao,False
Bi ti shi shen me dong xi,False
"Speech of Judge Chambers, on the judicial tenure, in the Maryland convention, April, 1851.",False
Tales from China.,False
Joyeux Noël,False
"Mother's Day - May 10, 1953",False
From pale to pampa,False
Emotional Value,False
Die Bekehrung des norwegischen Stammes zum Christenthume: in ihrem geschichtlichen Verlaufe ...,False
Fragment d'un commentaire sur Virgile,False
"No repentance, no forgiveness",False
"Discerning vocations to marriage, celibacy, and singlehood",False
"Opinion de Thomas Payne, de pute  du de partement de la Somme, concernant le jugement de Louis XVI",False
Properties of solids.,False
Voetlicht,False
The painting of The life of St. Francis in Assisi,False
Special history of New York.,False
Nicholas Ferrar,False
"A New Baby at Koko Bear's House (Lansky, Vicki)",False
Spring 1950,False
I Heart Heaven,False
"Mary, a daughter of the English peasantry, by the author of 'Highland sports and pastimes'.",False
In search of a model for African-American drama,False
Vick's garden and floral guide,False
The preservation of the coast,False
Stolen,True
Proposals for discussion and adoption,False
MANUFACTURING INDUSTRIES OF CANADA,False
SG PRINC OF MACROECONOMICS,False
Start Your Engines! (Bubble Guppies),True
Historia General del Arte Mexicano,False
"Recueil des traités, conventions et actes diplomatiques concernant la Pologne 1762-1862 par le ...",False
Instructio pro se praeparantibus ad audiendas confessiones,False
I have heard the cry of my people...,False
Systematic treatise on medicine,False
The Lordship of Jesus,False
Alan Bloom's hardy perennials,False
Infant-toddler assessment,False
Les  fleurs du mal,False
Collected poems,False
Reconstruction in Georgia,False
Criminal seduction,True
"Ted Barclay, Liberty Hall Volunteers",False
U. S. education reform and national security,False
The players of London,False
Handbook for alumni administration,False
Später Sieg,False
Salem-village witchcraft,False
Junior C.I.D.,False
Encyclopædia biblica,False
A first generation simulator of Thailand transportation system,False
"Scottish painting, 1837-1939",False
Hospitals in Siam,False
Variações sobre Sexo e Género (Portuguese Edition),False
Bíblia,False
The Works of Edgar Allan Poe,True
Just peace,False
Istorīi͡a︡ Ekateriny Vtoroĭ.,False
Lord Of The Spiders,True
Ils ont fait Paris,False
Silent Joe,True
Heaven within,False
Harrison hall and its associations,False
Americans of gentle birth and their ancestors,False
Exploring the oceans,False
The Mantle of Esther,False
Horse's Neck,True
Constitution and By-laws ...,False
A Journal with the Poetry of Rumi,True
In the continuum,False
De panoramische droom,False
Gambling with the public trust,False
Saving Iraq Rebuilding A Broken Nation,False
The Liturgy Betrayed,False
Rhymes and Jingles for a Good Child,False
Worship in a new key,False
Operation Weakest Link And Other Stories,True
Victor Hugo,False
FRIGHT NIGHT,False
Moseteno vocabulary and treatises,False
The cook's dictionary and house-keeper's directory,False
Perspectives on bias in mental testing,False
The Official Great British Factory Shop Guide (Factory Shop Guides),False
A. Ecker's und r. Wiedersheim's Anatomie des Frosches,False
Ubiystvo na brachnom lozhe,False
The awakening land,False
30 perfect days,False
Me and the Bad Guys,True
Ftce Physical Education K12 Teacher Certification Exam,False
Smoothies & Juices,False
Barbie: The Peasant or the Princess (Barbie and Friends Book Club),False
Rite of brotherhood,True
Laparoscopy in urology,False
A study of the classification of hospitals for prospective reimbursement,False
Across two continents and through the Emerald Isle,False
Five-star favorites,False
Honduras and the Perry Land Grant,False
Modernisation of a traditional society,False
Trouble at Foxhall,True
The Peloponnesian War,False
The practice of classical palmistry,False
Flower of the Storm,True
Conference leadership,False
Computer in der Übersetzungswissenschaft,False
El corsé,False
The theory of ocular defects and of spectacles,False
Address,False
Soldier girl,True
Circulaire au clergé du diocèse de Montréal,False
Smith,True
A model lover,False
Essai sur le mythe de Psyché dans la littérature française des origines à 1890.,False
Manual práctico para el cultivo del narajo,False
Survey of the attitude of residents along the Hellgate Recreation Area of the Rogue River toward user groups and their impact,False
Einei Hashem,False
Disaster medicine,False
The guiding principles on internal displacement and the law of South Caucasus,False
"A System of surgery v. 3, 1882",False
"Constitution of the Church Building Society of the Diocese of North Carolina, organized May 23, 1856",False
Criminal Procedure,False
The beauty of clocks,False
La Juive,False
Horse & pony care,False
Emendationes locorum aliquot Homericorum scripsit et publice defendet,False
South Michigan Nursery,False
"The Lowe's Ultimate Book of Home Plans, 3rd edition",False
Serpent in Paradise (Hqn Books),True
Every Kid's Guide to Handling Feelings (Living Skills Series),True
Das profil der Deutschen,False
The Great Victorian Desert,False
100 things to do with ... Winnie the Pooh,False
Baltimore Catechism No. 1,False
Economic perspectives on acid deposition control,False
The royal road to health,False
Geschichte der deutschen Mystik im Mittelalter,False
Adam's bride,False
Short plays for young actors,True
White zombie,False
"La pieuse paysanne, ou, Vie de Louise Deschamps",False
Handbuch der allgemeinen chirurgischen Pathologie und Therapie,False
De verpleegster,False
The chronicles of a great prince,False
Midwinter breakfasts,False
Jimi Hendrix,False
[Letter to] My Dear Friend,False
Door knockers,True
English Tibetan colloquial dictionary,False
Arts and artists from an economic perspective,False
The Liverpool and Manchester Medical & Surgical Reports,False
Teaching children in China at the Canton Christian College,False
"When I Was a Little Boy, by Jesus",False
Les métamorphoses Butor,False
D. Marcus Elieser Bloch's... Ökonomische Naturgeschichte der Fische Deutschlands...,False
O's Little Guide to Starting Over,False
"Annual reports of the corporation of the city of Victoria for the year ending 31st December, 1891",False
The Division of Conciliation,False
"Arsenic, as an impurity in drugs",False
Ji xiao du zhe,False
The paper wife,True
Place Matters,False
Buhay ni S. Juan Bautista,False
"Atlas of Wexford County, Michigan",False
The Pursemonger of Fugu,False
50 Ways with Potatoes,False
Fabric Sculpture,False
Welcome to America?,False
Anṭisemiṭizm in der Frantseyzisher arbeṭer-baṿegung,False
Handbuch für das Schutzgebiet Kiautschou,False
"Handbook for Practice Learning in Social Work and Social Care, Third Edition",False
Do Cats Have Scales? (Maxi Movers),False
Mon animal a-t-il besoin d'un psy ?,False
Devil in spurs,True
Inland birds,False
Our Crowded Planet,False
The Insider's guide to demographic know-how,False
Runaway Reptar!,True
A history of the electrical activity of the brain,False
Story Poems,False
Europe in the middle age,False
Etude historique sur les impots indirects chez les Romains jusqu'aux invasions des barbares,False
It's a Hard Life,False
Mad Frank and Sons,False
"William Lloyd Garrison, 1805-1879",False
Take The Dimness Of My Soul Away Healing After A Loved Ones Suicide,False
Exploring the ways of mankind,False
Artists/USA 1972-73 : a guide to contemporary American art,False
Challenging the state,False
A sors útjai,False
Lider,False
My very favorite nature book.,False
"Dionysus, myth and cult",False
Church Music,False
Memoriales presentados al Soberano Congreso Constituyente por las comunidades religiosas para que se reforme el decreto de reforma,False
The official price guide to American arts and crafts,False
The steam consumption of locomotive engines from the indicator diagrams,False
Chinese Philosophy,False
Sauce,False
The earthen vessel,False
Bogotá,False
Black and conservative,False
Winslow Homer,False
Every landlord's guide to finding great tenants,False
Third Lanark FC (Classic Matches),False
Episcopal visitation of monasteries in the thirteenth century,False
"Catalogue and synonymy of the genera, species and varieties of recent Mollusca described prior to January 1st, 1867.",False
Cours succincts d'anglais rédigés tout spécialement pour les gens de langue française de l'Amérique du Nord,False
The palace martyr [Lady Flora Hastings]! A satire,False
Telephonic news dispenser.,False
Projet ge ne ral des planches anatomiques du sieur Gautier,False
A house-hunter in Europe.,False
Golden Gate Park Concourse Authority projects,False
I Told My Secret,False
Palmer's gold medal dahlias for 1927 [catalog],False
Quality of life in South Africa,False
The history of Tom Thumbe,False
Five years in Texas,False
Della vita e delle pitture di Lattanzio Gambara: memorie storiche,False
The Soul is here for its own joy,False
La creación del mundo y primer culpa del hombre,False
Parliament must be reformed,False
Crime dictionary,False
Help for Loc,False
Looking back,False
Lições de philologia portuguesa dadas na Biblioteca Nacional de Lisboa.,False
Evaluation of inventory management policies at naval shipyards,False
Music for young children,False
Randolph Caldecott,False
Servicios legales,False
The poems of William Morris,True
A practitioner's guide to reflection in service-learning,False
"Good nursing, and its importance in the treatment of disease",False
Le Management pour les nuls,False
"Esequie dell' Altezza Reale la serenissima donna Isabella di Borbone, infanta di Spagna, arciduchessa d'Austria",False
Wayside musings.,False
Machine transcription and dictation,False
"[Addresses, essays, lectures]",False
"Speech of Hon. Jesse O. Norton, of Illinois, on the Illinois contested election",False
The Curwens of Workington Hall and kindred families,False
The standard of living of farm laborers,False
Relapse of typhoid fever especially with reference to the temperature,False
Chef Paul Prudhomme's Fiery Foods That I Love,False
Monday night mayhem,False
Landscape with Invisible Hand,True
Called to Action (A Fount Original),False
Romani and Dard,False
The essentials of philosophy,False
Histoire abr℗♭Ứg℗♭Ứe des drogues simples,False
Moral and pastoral theology ...,False
Exercise in water,False
The field of clover,True
The vampire of Curitiba and other stories.,True
The Red Suit Diaries,False
Walter Pater,False
Das Leben der Griechen und Römer nach antiken Bildwerken,False
"Translations Into English Verse from the Poems of Davyth Ap Gwilym, a Welsh Bard of the ...",False
Diptera Scandinaviæ disposita et descripta.,False
Wspólnota z Bogiem,False
Traditional English gardens,False
"Science, grade 4 spotlight/performance standard",False
"Draft environmental impact statement on the El Paso electric 345 KV, Springerville to Deming transmission line",False
Human Futures,False
Electrical engineer's pocket-book,False
The future of leadership,False
Min bästa väns dotter,False
Swimming and diving,False
Ultramarinos,False
Le coucou,False
"Théorie du plus grand commun diviseur: et de l'élimination, précédée de la ...",False
The early works of Orestes A. Brownson,False
"The works of Alexander Pope, esq., with notes and illustrations, by himself and others",False
Global catastrophes,False
Gladiolus for 1950,False
"A check list of mammals of the North American continent, the West Indies and the neighboring seas.",False
Specification of William Suffield,False
Through the year with Watchman Nee,False
Initiation à l'électricité et à l'électronique,False
Poor Little Rich Girl,False
Begegnung im Zwielicht,False
The Oklahoma Geological Survey,False
George Washington Has No Middle Name,False
Rendezvous With Destiny,False
Solid fuel ramjet infrared signature,False
Elmer and the race,True
Between life and death,False
Imelda Lambertazzi.,False
Assemblée à Saint-Hyacinthe le 8 décembre 1885 pour protester contre l'exécution de Riel,False
Kati and Kormos,False
Saint Augustine,False
"Kwaku, or, The man who could not keep his mouth shut",True
Annual report of the Medical Officer of Health for the year 1908,False
[Report 1939],False
Easy reading,False
Harry Bentleys Second Chance A Yada Yada Brothers Novel,True
Chemistry,False
Yankee Thunder,False
101 Female Uses for Pink Duct Tape,True
Charities.,False
Die Bibel,False
Illegal aliens,False
Gunther von Hagens' le Monde du Corps - Exposition Anatomique de Corps Humains Véritables,False
The president who pardoned a turkey and other wacky tales of American history,True
The last puppy,True
Les squelettes et le mouvement,False
Auditing concepts and methods,False
Beyond the best interests of the child,False
19th IEEE International Symposium on Computer-Based Medical Systems,False
Légendes et archives de la Bastille,False
Its Never Too Late To Play Piano A Learnasyouplay Tutor With Interactive Cd,False
Keilschriftmedizin in Parallelen,False
Changes in processing and marketing hides,False
Beiträge zur Histogenese der acuten Nierenentzündungen: Eine von der medicinischen Facultät zu ...,False
The secret of NIMH,True
Little book of the world cup,False
Civil affairs operations,False
The works of the Emperor Julian,False
The sporting fish of Great Britain,False
Cracking the SAT.,False
The Banana Lady and Other Stories of Curious Behavior and Speech,False
Little White Hen,False
BLOOD ON THE RANGE,True
"A memorial and biographical history of Johnson and Hill counties, Texas",False
[Report 1925],False
Peugeot 405 Diesel Service and Repair Manual (Haynes Service and Repair Manuals),False
Sarrasine,True
Barreras afectivas,False
Start & Run a Handyman Business (Start & Run a),False
Employee Rights in California,False
California wild flower seeds,False
"An Account of the Mining District of Alston Moor, Weardale and Teesdale",False
"Trial of Mr. Daniel Isaac Eaton, for publishing the third and last part of Paine's Age of reason",False
Studies in the civil government of the state of Louisiana and the Constitution of the United States,False
Confessions,True
Sea Killers (Trailblazers) (Trailblazers),True
Benson & Hedges Snooker Year (Pelham Practical Sports),False
"The Business of iOS App Development: For iPhone, iPad and iPod touch",False
A fistful of dáilers : political cartoons 1983-1987,False
For Palestine,False
Iswolski und der Weltkrieg,False
Residential carpentry,False
The Moultrie-Montagne letters. 1781.,False
L' activite theatrale au Quebec (1765-1825),False
The presidents' first ladies,False
Stargazers,False
Clint Eastwood,False
Un ogre pour s'endormir,False
The Sick House Survival Guide,False
The kind of laws the unions ought to want,False
Von hoher und niedriger Literatur,True
Swimming with manatees,False
Encyclopédie du fantastique et de l'étrange,False
Glad to be out?,False
Land quality indicators and their use in sustainable agriculture and rural development,False
Foreign Neon,False
Zen yang zhi zuo web ye mian,False
Fuerzas Irresistibles,True
Consorts Of Heaven,True
Danger Trail,False
Junior Great Books,True
Lang man man xia,False
"Cahier des charges de ""La vie mode d'emploi""",True
The scapegoat,True
A Mighty Fortress,False
The confessions of a woman,False
A probable volume of dreams; poems,False
Twenty-Five Lessons in Citizenship 1995-1996,False
Lorenzo's Assassin,True
Meditation at noon,False
To the nations,False
Mothers,True
Mountain Sports,False
Mission for peace,True
Akbar der Grosse (1542-1605),False
Under the lilacs,True
Bread,False
Keep on Going,False
Pope.,False
Homeschooling in full view,False
Cholera,False
The Canadian Dictionary for Children,False
Articuli Ecclesiae Anglicanae,False
Natural law in the spiritual world.,True
Prince Not So Charming,False
Der Vokalismus des Vulgärlateins,False
Xin ke cheng li nian xia de ke tang jiao xue,False
Second chance,True
Vietnam (Countries),False
Eucharisties d'Orient et d'Occident.,False
Escape routes,False
Herblock,False
"Paris Journal, 1956-64 (Paris Journal)",False
Civilian into Soldier (New Zealand Classics),False
A Different Kind Of Luxury Japanese Lessons In Simple Living And Inner Abundance,False
"Taalkundig magazijn, of gemengde bijdragen tot de kennis der Nederduitsche taal; bijeenverzameld ...",False
Peace & war : a 4-week course to help junior highers explore the complexities of war from a Christian perspective,False
El día y la noche,False
Recherches pratiques sur les causes qui font échouer l'opération de la cataracte,False
A Step-By-Step to Intuitive Wellness,False
O Pianista (Portuguese Edition),False
"Up, Up and Away (Collins Big Cat)",False
The AutoCAD tutor for engineering graphics,False
The biggest horse I ever did see,True
Istorii͡a antisemitizma,False
Decorated cookies,False
A picture of New-York in 1846,False
The forewarners,False
Tables of physical and chemical constants and some mathematical functions,False
1923 catalogue from Hoermann Seed Store,False
Handbuch der Sanit©Þts-Polizei,False
The taste of fitness,False
Arctotis,False
"Monograph on the old Franciscan Mission, Santa Barbara, California",False
Abstract of Geonomy: The Origin of Continents and Mountains ...,False
Design with microprocessors for mechanical engineering,False
Biennial Report of the Superintendent of Public Instruction of the State of Illinois for the ...,False
"King Henry VI, parts 1, 2 and 3",False
La vida nueva,True
Probability and Random Processes for Electrical Engineering,False
An Account of the expedition to Carthagena,False
A history of modern computing,False
Fighting years,False
"Olympe de Clèves, Vol. I",False
Pomp. Gaurici Neapolitani De sculptura liber,False
Studii di bibliografia analitica.,False
The seven follies of science,False
Pspice With Circuit Analysis,False
Day of the cobra,False
A run through the States,False
Internet Freedom,False
[Report 1938],False
A trainload of fun,False
Die Seele des Menschen,False
"Rabbit's Laid an Egg, Miss!",False
Irrfahrten,False
[Price list],False
The Portygee,True
Crosby,True
The Call Of Cthulhu And Other Weird Tales,True
De magiërs van Nexus (Meulenhoff-M Science fiction and fantasy),False
"Berlitz dictionary French-English, English-French =",False
Our love is here to stay,False
Reason in Revolt,False
Des flocons plein le pompon!,True
Manuel encyclopédique du commerce,False
One Health and the Politics of Antimicrobial Resistance,False
Play and evolution,False
Speedboats,False
Toward a New Order of Sea Power,False
A window in Thrums,True
The green lantern:green arrow collection,False
A new grammar of the English tongue,False
University college course of practical exercises in physiology,False
Shanghai journal;,False
Suspense,False
Continuity of employment,False
Ariadne,False
Crowned heads,True
Oxygen disorder effects in high-Tc superconductors,False
Maine,False
Telephone lines and their properties,False
Istiraplar Ansiklopedisi,False
Great lawyer stories,True
"The works of Aristotle, the famous philosopher",False
PowerPoint you xiu yan shi wen gao jing dian she ji 108 li,False
Penetración la Fórmula de la Concordia,False
The blood vessels of the kidney,False
The women's suffrage movement and Irish society in the early twentieth century,False
Sounds of HU,False
Fatima,False
Trait©♭ sur les propri©♭t©♭s et les effets du caf©♭ ...,False
Sharks,False
Storm surge on the open coast,False
"Dissertatio medico-botanica, sistens specifica canadensium",False
The Word God sent,False
The Columba Lectionary for Masses with Children,False
American saints & seers,False
A Tamil prose reading-book,False
"Records of Patterdale, historical and descriptive.",False
"Have a Happy, Healthy Dog (How Now Pal)",False
Open mic,True
My friend Fang and other great stories for kids,True
Three Exemplary Novels,True
"The songs, airs, duetts and chorusses in the masque of King Arthur ...",False
French in 10 minutes a day,False
"Los Intereses Creados/señora Ama (Colección Austral, 34)",False
The monastic achievement.,False
Experimental-physik: Ein Leitfaden bei Vorträgen,False
I feel frightened,False
"Arrest du Conseil d'E tat du roi, qui ordonne qu'il sera proce de , par les sieurs commissaires du Bureau des pe ages, a   la fixation des indemnite s qui seront dues aux proprie taires desdits pe ages, lorsque Sa Majeste  jugera a   propos de les supprimer",False
[Report 1944],False
Everglades Aquatic Nurseries,False
Gleanings,False
The Doctors Book of Home Remedies for Preventing Disease,False
Question of Identity,True
Firefly guide to the state of the world.,False
"An account of that most excellent medicine, the cordial balm of Gilead, which is prepared (only) by S. Solomon",False
"The dictionary of political quotations on Ireland, 1886-1987",False
John Hume,False
If not the saloon -- what?,False
Superlatives-- the best of Oklahoma.,False
Public education in the sixties,False
Ayoade on Ayoade,False
Sunrise,True
