Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff,ElimFac
Bevin Powers,"Palo Alto, California",Assistant,10,8,29.0,4.0,0.8888888888888888
Danielle Imwalle,"Bethel, Connecticut",Graphic designer,10,7,25.0,0.0,0.7777777777777778
Amber Alchalabi,"Sugar Land, Texas",Teacher,10,6,23.0,2.0,0.6666666666666666
Stephanie Wilhite,"Overland Park, Kansas",Project manager,10,5,23.0,2.0,0.5555555555555556
Tina Wu,"Lenox Hill, New York",Medical student,10,5,26.0,1.0,0.5555555555555556
Kate Brockhouse,"Ravenel, South Carolina",Boutique owner,10,4,24.0,1.0,0.4444444444444444
Nicole Clary,"Charleston, South Carolina",Sales Manager,10,4,26.0,1.0,0.4444444444444444
Stephanie Tipper,"Folly Beach, South Carolina",Organ donation coordinator,10,4,27.0,2.0,0.4444444444444444
Amanda Hackney,"Dallas, Texas",Financial analysts,10,3,26.0,1.0,0.3333333333333333
Erin Parker,"Logansport, Louisiana",Financial analyst,10,3,24.0,1.0,0.3333333333333333
Peyton Wright,"La Vergne, Tennessee",Sorority recruiter,10,3,24.0,1.0,0.3333333333333333
Alexis Young,"Southlake, Texas",Attorney,10,2,26.0,1.0,0.2222222222222222
Susan Anderson,"The Woodlands, Texas",Boutique manager,10,2,23.0,2.0,0.2222222222222222
Tiffany Warren,"Boston, Massachusetts",Medical equipment sales representative,10,2,28.0,3.0,0.2222222222222222
Blakeney Rowe,"Birmingham, Alabama",Radio sales,10,1,29.0,4.0,0.1111111111111111
Candace DeCost,"Hilton Head Island, South Carolina",Waitress,10,1,23.0,2.0,0.1111111111111111
Catherine Warren,"Lake Forest, Illinois",Former Miss Illinois,10,1,23.0,2.0,0.1111111111111111
Danielle Vallis,"Bronx, New York",Attorney,10,1,26.0,1.0,0.1111111111111111
Jackie Topelli,"Minneapolis, Minnesota",Executive coordinator,10,1,23.0,2.0,0.1111111111111111
Jeanette Alvarez,"Tampa, Florida",Health care manager,10,1,27.0,2.0,0.1111111111111111
Jessica Devallo,"New York, New York",Hedge fund analyst,10,1,32.0,7.0,0.1111111111111111
Linda Malek,"Cuyahoga Falls, Ohio",Attorney,10,1,33.0,8.0,0.1111111111111111
Lindsay Smith,"Lawrence, Kansas",Student,10,1,22.0,3.0,0.1111111111111111
Tiffany Forester,"St. Louis Park, Minnesota",Real estate sales/development,10,1,27.0,2.0,0.1111111111111111
DeAnna Pappas,"Newnan, Georgia",Realtor,11,8,26.0,5.0,1.0
Jenni Croft,"Wichita, Kansas",Phoenix Suns Cheerleader,11,8,28.0,3.0,1.0
Bettina Bell,"Washington, D.C.",Realtor,11,7,27.0,4.0,0.875
Sheena Stewart,"Walnut Creek, California",Internet marketing executive,11,6,23.0,8.0,0.75
Hillary Reisinger,"Philadelphia, Pennsylvania",Registered nurse,11,5,27.0,4.0,0.625
Kristy Katzmann,"Gurnee, Illinois",Acupuncturist,11,5,30.0,1.0,0.625
"Estefania ""Stephy"" Kootz","Atlanta, Georgia",Executive assistant,11,4,26.0,5.0,0.5
Jade Beazley,"Nashville, Tennessee",Boutique sales worker,11,4,24.0,7.0,0.5
McCarten Delaney,"Lemon Grove, California",Account manager,11,4,26.0,5.0,0.5
Lindsey Hawkins,"Livonia, Michigan",Model,11,3,25.0,6.0,0.375
Sarah Newlon,"O'Fallon, Illinois",Bar manager,11,3,23.0,8.0,0.375
Solisa Shoop,"Georgetown, Texas",Esthetician,11,3,26.0,5.0,0.375
Michele Leavy,"South Brunswick, New Jersey",Realtor,11,2,30.0,1.0,0.25
Mallory Simons,"Honolulu, Hawaii",Nanny,11,2,24.0,7.0,0.25
Erin Gardner,"Tampa, Florida",Publishing sales executive,11,2,25.0,6.0,0.25
Jessica Kiss,"Lady Lake, Florida",News anchor,11,1,27.0,4.0,0.125
Juli Gilliam,"Chicago, Illinois",Law student,11,1,24.0,7.0,0.125
Kim Orville,"Woodbridge, Connecticut",Realtor,11,1,31.0,0.0,0.125
Lori Langley,"Annapolis, Maryland",Teacher,11,1,33.0,2.0,0.125
Melissa Buschel,"Westchester, New York",Event planner,11,1,28.0,3.0,0.125
Morgan Becker,"Tempe, Arizona",Graduate student,11,1,24.0,7.0,0.125
Natalie Velasco,"Duncanville, Texas",Law student,11,1,25.0,6.0,0.125
Regina Doringa,"San Diego, California",Account representative,11,1,31.0,0.0,0.125
Tauni Nessler,"St. Louis Park, Minnesota",Emergency room nurse,11,1,31.0,0.0,0.125
Susan Coolidge,"St. Charles, Illinois",Project analyst,11,1,35.0,4.0,0.125
Shayne Lamas,"Malibu, California",Actress,12,9,23.0,0.0,1.0
Chelsea Wanstrath,"Durango, Colorado",Pharmaceutical sales representative,12,8,25.0,2.0,0.8888888888888888
Amanda Rantuccio,"Niceville, Florida",Account Executive,12,7,28.0,5.0,0.7777777777777778
Noelle Drake,"Loveland, Colorado",Photographer,12,6,27.0,4.0,0.6666666666666666
Marshana Ritchie,"Brooklyn, New York",Fashion designer,12,5,27.0,4.0,0.5555555555555556
Robin Canfield,"Holland, Michigan",Advertising coordinator,12,5,23.0,0.0,0.5555555555555556
Ashlee Williss,"Jacksonville Beach, Florida",Singer-songwriter,12,4,23.0,0.0,0.4444444444444444
Kelly Duncan,"Hollywood, California",Medical sales representative,12,4,25.0,2.0,0.4444444444444444
Holly Durst,"Suffield, Ohio",Children's book author,12,4,25.0,2.0,0.4444444444444444
Amy Bean,"Stockton, California",Nanny,12,3,23.0,0.0,0.3333333333333333
Erin Storm,"Venice, California",Hot-dog vendor,12,3,33.0,10.0,0.3333333333333333
Kristine Heffelfinger,"Dillsburg, Pennsylvania",Personal trainer,12,3,33.0,10.0,0.3333333333333333
Michelle Procopio,"Syracuse, New York",Administrative assistant,12,2,29.0,6.0,0.2222222222222222
"Caroline ""Carri"" Perrier","Oklahoma City, Oklahoma",Church marketing representative,12,2,25.0,2.0,0.2222222222222222
Erin Harper,"Seattle, Washington",Event planner,12,2,25.0,2.0,0.2222222222222222
Alyssa Gill,"Boise, Idaho",Biology student,12,1,24.0,1.0,0.1111111111111111
Amanda Petterman,"LaFollette, Tennessee",Law student,12,1,26.0,3.0,0.1111111111111111
Denise Hawthorne,"Washington, D.C",Attorney,12,1,30.0,7.0,0.1111111111111111
Devon Antin,"Austin, Texas",Makeup artist,12,1,24.0,1.0,0.1111111111111111
Lesley Geyer,"Tampa, Florida",Youth minister,12,1,24.0,1.0,0.1111111111111111
Michele Romero,"Laguna Niguel, California",Interior designer,12,1,33.0,10.0,0.1111111111111111
Rebecca LeBlanc,"Alamo, California",Attorney,12,1,30.0,7.0,0.1111111111111111
Stacey Elza,"Chicago, Illinois",Graduate student,12,1,27.0,4.0,0.1111111111111111
Tamara Sketz,"Beverly Hills, California",Cocktail waitress,12,1,23.0,0.0,0.1111111111111111
Tiffany Thornburg,"San Francisco, California",Real estate marketing representative,12,1,33.0,10.0,0.1111111111111111
Melissa Rycroft,"Dallas, Texas",Sales representative,13,9,26.0,2.0,1.0
Molly Malaney,"Brookfield, Wisconsin",Department store buyer,13,8,25.0,3.0,0.8888888888888888
Jillian Harris,"Peace River, Alberta",Interior designer,13,7,30.0,2.0,0.7777777777777778
Naomi Crespo,"Carlsbad, California",Flight attendant,13,6,25.0,3.0,0.6666666666666666
Stephanie Hogan,"Huntsville, Alabama",Medical marketing representative,13,5,35.0,7.0,0.5555555555555556
Lauren Wanger,"Marlboro, New Jersey",Teacher,13,4,28.0,0.0,0.4444444444444444
Megan Parris,"Sewickley, Pennsylvania",Lacrosse coach,13,4,26.0,2.0,0.4444444444444444
Shannon Bair,"Marshall, Missouri",Dental hygienist,13,4,30.0,2.0,0.4444444444444444
Nikki Kaapke,"Blue Island, Illinois",Administrative assistant,13,4,30.0,2.0,0.4444444444444444
Erica DeSimone,"Monroe, Connecticut",Account executive,13,3,25.0,3.0,0.3333333333333333
Kari Fajen,"Lee's Summit, Missouri",Account executive,13,3,28.0,0.0,0.3333333333333333
Natalie Getz,"Morton, Illinois",Human resources recruiter,13,3,28.0,0.0,0.3333333333333333
Raquel Medeiros,"Recife, Pernambuco, Brazil",Medical student,13,2,28.0,0.0,0.2222222222222222
Sharon Staebell,"Batavia, New York",Teacher,13,2,33.0,5.0,0.2222222222222222
Lisa Gonzalez,"Boise, Idaho",Public relations associate,13,2,28.0,0.0,0.2222222222222222
Ann Lueders,"Phoenix, Arizona",Flight attendant,13,1,24.0,4.0,0.1111111111111111
Dominique Carta,"Mt. Carmel, Pennsylvania",Medical sales representative,13,1,27.0,1.0,0.1111111111111111
Emily,"Seattle, Washington",Casino marketing representative,13,1,23.0,5.0,0.1111111111111111
Jackie Hickey,"Springfield, Massachusetts",Wedding coordinator,13,1,26.0,2.0,0.1111111111111111
Julie Dermotta,"Columbus, Ohio",Teacher,13,1,27.0,1.0,0.1111111111111111
Nicole Mah,"Calgary, Alberta",Menswear buyer,13,1,25.0,3.0,0.1111111111111111
Renee Simlak,"Southfield, Michigan",Jewelry designer,13,1,37.0,9.0,0.1111111111111111
Shelby,"Stockton, California",Account executive,13,1,23.0,5.0,0.1111111111111111
Stacia Mann,"Orem, Utah",Charity accountant,13,1,25.0,3.0,0.1111111111111111
Treasure Morgan,"Salt Lake City, Utah",Nurse practitioner,13,1,28.0,0.0,0.1111111111111111
Vienna Girardi,"Geneva, Florida",Marketing representative,14,9,24.0,2.0,1.0
Tenley Molzahn,"Newberg, Oregon",College admissions,14,8,26.0,0.0,0.8888888888888888
Gia Allemand,"New York, New York", Swimsuit model,14,7,27.0,1.0,0.7777777777777778
Ali Fedotowsky,"Williamstown, Massachusetts",Advertising account manager,14,6,26.0,0.0,0.6666666666666666
Corrie Adamson,"Kissimmee, Florida",Wardrobe consultant,14,5,24.0,2.0,0.5555555555555556
Ashleigh Hunt,"North Potomac, Maryland",Account manager,14,4,26.0,0.0,0.4444444444444444
Jessie Sulidis,"Oakville, Ontario",Cosmetic sales manager,14,4,26.0,0.0,0.4444444444444444
Kathryn Sherlock,"Lexington, Kentucky",Corporate flight attendant,14,4,26.0,0.0,0.4444444444444444
Ella Nolan,"La Follette, Tennessee",Hair stylist,14,4,31.0,5.0,0.4444444444444444
Elizabeth Kitt,"Imperial, Nebraska",Nanny,14,3,30.0,4.0,0.3333333333333333
Valishia Savage,"San Bernardino, California",Homemaker,14,3,33.0,7.0,0.3333333333333333
Michelle Kujawa,"Anaheim, California",Office manager,14,3,27.0,1.0,0.3333333333333333
Ashley Elmore,"Pittsburgh, Pennsylvania",Teacher,14,2,29.0,3.0,0.2222222222222222
Christina McCasland,"San Diego, California",Restaurant manager,14,2,26.0,0.0,0.2222222222222222
Rozlyn Papa,"Richmond, Virginia",Model/Makeup artist,14,2,29.0,3.0,0.2222222222222222
"Alexa ""Lex"" McAllister","Galloway, Ohio",Entrepreneur,14,1,26.0,0.0,0.1111111111111111
Caitlyn McCabe,"Winfield, Illinois",Spokesmodel,14,1,25.0,1.0,0.1111111111111111
Channy Choch,"Santa Rosa, California",Mortgage loan officer,14,1,29.0,3.0,0.1111111111111111
Elizabeth Kreft,"Union, Kentucky","Captain, Air National Guard",14,1,31.0,5.0,0.1111111111111111
Emily Harkins,"West Chester, Ohio",Fitness model,14,1,24.0,2.0,0.1111111111111111
Kimberly Sullivan,"Norman, Oklahoma",NBA dancer,14,1,24.0,2.0,0.1111111111111111
Kirsten Pittman,"Aurora, Colorado",Waitress,14,1,26.0,0.0,0.1111111111111111
Sheila Lidner,"Scottsdale, Arizona",Commercial pilot,14,1,25.0,1.0,0.1111111111111111
Stephanie Mueller,"Morris, Illinois",Dance teacher,14,1,24.0,2.0,0.1111111111111111
Tiana Kruzel,"Calgary, Alberta",Medical technician,14,1,31.0,5.0,0.1111111111111111
Emily Maynard,"Morgantown, West Virginia",Children's Hospital Event Planner,15,11,25.0,8.0,1.0
Chantal O'Brien,"Mercer Island, Washington",Executive Assistant,15,10,29.0,4.0,0.9090909090909091
Ashley Hebert,"Madawaska, Maine",Dental Student,15,9,27.0,6.0,0.8181818181818182
Shawntel Newton,"Chico, California",Funeral Director,15,8,27.0,6.0,0.7272727272727273
Michelle Money,"Salt Lake City, Utah",Hair stylist,15,7,31.0,2.0,0.6363636363636364
Britt Billmaier,"Woodinville, Washington",Food writer,15,7,26.0,7.0,0.6363636363636364
Jackie Gordon,"Newport, Rhode Island",Artist,15,6,27.0,6.0,0.5454545454545454
Alli Travis,"Columbus, Ohio",Apparel merchant,15,6,25.0,8.0,0.5454545454545454
Lisa Morrisey,"Ottawa, Kansas",Marketing Coordinator,15,5,25.0,8.0,0.45454545454545453
Marissa May,"Mesa, Arizona",Sports Publicist,15,5,27.0,6.0,0.45454545454545453
Ashley Spivey,"Ellerbe, North Carolina",Nanny,15,5,27.0,6.0,0.45454545454545453
Lindsay Hill,"Plano, Texas",First grade teacher,15,4,26.0,7.0,0.36363636363636365
Meghan Merritt,"Princeton, New Jersey",Fashion Marketer,15,4,31.0,2.0,0.36363636363636365
Stacey Quirpel,"Quincy, Massachusetts",Bartender,15,4,26.0,7.0,0.36363636363636365
Kimberly Coon,"Orlando, Florida",Marketing Coordinator,15,3,29.0,4.0,0.2727272727272727
Sarah Powell,"Denver, Colorado",Real Estate Broker,15,3,27.0,6.0,0.2727272727272727
Madison Garton,"Vail, Colorado",Model,15,3,26.0,7.0,0.2727272727272727
Keltie Busch,"Sherwood Park, Alberta",Radio City Rockette,15,2,29.0,4.0,0.18181818181818182
Melissa Schreiber,"Westport, Connecticut",Waitress,15,2,33.0,0.0,0.18181818181818182
Raichel Goodyear,"Fullerton, California",Manscaper,15,2,30.0,3.0,0.18181818181818182
Britnee Marks,"Holland, Pennsylvania",Paralegal,15,1,26.0,7.0,0.09090909090909091
Cristy Caserta,"Davie, Florida", Attorney,15,1,31.0,2.0,0.09090909090909091
"Jessica ""J"" Adams","Seattle, Washington",Operations Manager,15,1,26.0,7.0,0.09090909090909091
Jill Ruskowski,"Frisco, Texas",Sales director,15,1,29.0,4.0,0.09090909090909091
Lacey Garbelman,"Tampa, Florida",Insurance agent,15,1,28.0,5.0,0.09090909090909091
Lauren Moore,"Culpeper, Virginia",High School Teacher,15,1,27.0,6.0,0.09090909090909091
Lisa Pastrich,"Dix Hills, New York",Sales Consultant,15,1,28.0,5.0,0.09090909090909091
Rebecca,"Mission Viejo, California",Esthetician,15,1,30.0,3.0,0.09090909090909091
Renee Halpin,"Palos Hills, Illinois",Nanny,15,1,29.0,4.0,0.09090909090909091
Sarah Ledtke,"Saginaw, Michigan",Musical Theatre Performer,15,1,26.0,7.0,0.09090909090909091
Courtney Robertson,"Scottsdale, Arizona",Model,16,11,29.0,5.0,1.0
Lindzi Cox,"Newcastle, Washington",Business development manager,16,10,28.0,4.0,0.9090909090909091
Nicki Sterling,"Hurst, Texas",Dental hygienist,16,9,26.0,2.0,0.8181818181818182
Kacie Boguskie,"Clarksville, Tennessee",Administrative assistant,16,8,25.0,1.0,0.7272727272727273
Emily O'Brien,"Chapel Hill, North Carolina",PhD Student,16,7,28.0,4.0,0.6363636363636364
Rachel Truehart,"Southampton, Massachusetts",Fashion sales representative,16,7,28.0,4.0,0.6363636363636364
Jamie Otis,"Dryden, New York",Registered nurse,16,6,26.0,2.0,0.5454545454545454
Casey Shteamer,"Leawood, Kansas",Trading clerk,16,6,27.0,3.0,0.5454545454545454
Blakeley Jones,"Rutherfordton, North Carolina",VIP cocktail waitress,16,6,35.0,11.0,0.5454545454545454
Jennifer Fritsch,"Cache, Oklahoma",Accountant,16,5,29.0,5.0,0.45454545454545453
Elyse Myers,"Chicago, Illinois",Personal trainer,16,5,25.0,1.0,0.45454545454545453
Monica Spannbauer,"Yuba, California",Dental consultant,16,4,34.0,10.0,0.36363636363636365
Samantha Levey,"Pittsburgh, Pennsylvania",Advertising account manager,16,4,27.0,3.0,0.36363636363636365
Jaclyn Swartz,"Newton, Massachusetts",Advertising account manager,16,3,28.0,4.0,0.2727272727272727
Erika Uhlig,"Charlottesville, Virginia",Law student,16,3,24.0,0.0,0.2727272727272727
Brittney Schreiner,"Colorado Springs, Colorado",Medical sales representative,16,3,27.0,3.0,0.2727272727272727
Shawn Reynolds,"Cincinnati, Ohio",Financial advisor,16,2,29.0,5.0,0.18181818181818182
Jenna Burke,"Loveland, Ohio",Blogger,16,2,28.0,4.0,0.18181818181818182
Amber Bacon,"Port Coquitlam, British Columbia",Labor and delivery nurse,16,1,23.0,1.0,0.09090909090909091
Amber Tierney,"Waverly, Nebraska",Critical care nurse,16,1,28.0,4.0,0.09090909090909091
Anna Snowball,"Detroit, Michigan",Student,16,1,25.0,1.0,0.09090909090909091
Dianna Martinez,"San Gabriel, California",Nonprofit director,16,1,31.0,7.0,0.09090909090909091
Holly Johnson,"Salyersville, Kentucky",Pharmaceutical sales representative,16,1,34.0,10.0,0.09090909090909091
Lyndsie James,"London, England",Internet entrepreneur,16,1,29.0,5.0,0.09090909090909091
Shira Astrof,"Massapequa Park, New York",Actress,16,1,35.0,11.0,0.09090909090909091
Catherine Giudici,"Seattle, Washington",Graphic Designer,17,11,27.0,4.0,1.0
Lindsay Yenter,"Fort Bragg, North Carolina",Substitute Teacher,17,10,25.0,2.0,0.9090909090909091
AshLee Frazier,"Houston, Texas",Personal Organizer,17,9,33.0,10.0,0.8181818181818182
Desiree Hartsock,"Northglenn, Colorado",Bridal Stylist,17,8,27.0,4.0,0.7272727272727273
Lesley Murphy,"Fort Smith, Arkansas",Political Consultant,17,7,26.0,3.0,0.6363636363636364
Tierra LiCausi,"Las Vegas, Nevada",Leasing Consultant,17,7,25.0,2.0,0.6363636363636364
Daniella McBride,"Belmont, California",Commercial Casting Associate,17,6,25.0,2.0,0.5454545454545454
Selma Alameri,"Borrego Springs, California",Real Estate Dealer,17,6,31.0,8.0,0.5454545454545454
Sarah Herron,"Evergreen, Colorado",Advertising Executive,17,6,27.0,4.0,0.5454545454545454
Robyn Howard,"Topeka, Kansas",Oil Field Account Manager,17,5,25.0,2.0,0.45454545454545453
Jackie Parr,"Ormond Beach, Florida",Cosmetics Consultant,17,5,26.0,3.0,0.45454545454545453
Amanda Meyer,"Bakersfield, California",Fit Model,17,4,27.0,4.0,0.36363636363636365
Leslie Hughes,"Ruskin, Florida",Poker Dealer,17,4,30.0,7.0,0.36363636363636365
Kristy Kaminski,"Darien, Wisconsin",Model,17,3,26.0,3.0,0.2727272727272727
Taryn Daniels,"Troutdale, Oregon",Health Club Manager,17,3,31.0,8.0,0.2727272727272727
Brooke Burchette,"Pittsburgh, Pennsylvania",Community Organizer,17,2,25.0,2.0,0.18181818181818182
Diana Weeks-Willardson,"Sandy, Utah",Salon Owner,17,2,32.0,9.0,0.18181818181818182
Katie Levans,"Woodstock, Illinois",Yoga Instructor,17,2,28.0,5.0,0.18181818181818182
Ashley Harper,"Garner, North Carolina",Fashion Model,17,1,25.0,2.0,0.09090909090909091
Ashley Palenkas,"Macomb, Michigan",Hair Stylist,17,1,29.0,6.0,0.09090909090909091
Kelly Dutton,"Chattanooga, Tennessee",Cruise Ship Entertainer,17,1,29.0,6.0,0.09090909090909091
Keriann Miranda,"Agoura Hills, California",Entrepreneur,17,1,30.0,7.0,0.09090909090909091
Lacey Latka,"Valencia, California",Graduate Student,17,1,25.0,2.0,0.09090909090909091
Lauren Marchetti,"Cranston, Rhode Island",Journalist,17,1,28.0,5.0,0.09090909090909091
Paige Vigil,"Minnetonka, Minnesota",Jumbotron Operator,17,1,26.0,3.0,0.09090909090909091
Nikki Ferrell,"Kearney, Missouri",Pediatric Nurse,18,11,28.0,2.0,1.0
Clare Crawley,"Sacramento, California",Hairstylist,18,10,33.0,7.0,0.9090909090909091
Andi Dorfman,"Buckhead, Georgia",Assistant District Attorney,18,9,27.0,1.0,0.8181818181818182
Renee Oteri,"Martha's Vineyard, Massachusetts",Real Estate Agent,18,8,33.0,7.0,0.7272727272727273
Chelsie Webster,"Lexington, Ohio",Science Educator,18,7,25.0,1.0,0.6363636363636364
Sharleen Joynt,"Ottawa, Ontario",Opera Singer,18,7,30.0,4.0,0.6363636363636364
Kat Hurd,"Iowa City, Iowa",Medical Sales Representative,18,6,30.0,4.0,0.5454545454545454
Cassandra Ferguson,"Shelby Charter Township, Michigan",Former NBA Dancer,18,6,23.0,3.0,0.5454545454545454
Alli Restko,"Orland Park, Illinois",Nanny,18,5,28.0,2.0,0.45454545454545453
Danielle Ronco,"Litchfield, Illinois",Psychiatric Nurse,18,5,26.0,0.0,0.45454545454545453
Kelly Travis,"Conyers, Georgia",Dog Lover,18,5,28.0,2.0,0.45454545454545453
Elise Mosca,"Forty Fort, Pennsylvania",First Grade Teacher,18,4,28.0,2.0,0.36363636363636365
Lauren Solomon,"Clinton, Michigan",Music Composer,18,4,27.0,1.0,0.36363636363636365
Christy Hansen,"Aurora, Illinois",Marketing Manager,18,3,26.0,0.0,0.2727272727272727
"Lucinda ""Lucy"" Aragon","Santa Barbara, California",Free Spirit,18,3,26.0,0.0,0.2727272727272727
Amy Long,"Clermont, Florida",Local News Reporter,18,2,28.0,2.0,0.18181818181818182
Chantel Forrest,"Miami, Florida",Account Manager,18,2,28.0,2.0,0.18181818181818182
Victoria Lima,"Porto Alegre, Brazil",Legal Assistant,18,2,24.0,2.0,0.18181818181818182
Alexis Morgado,"Tampa, Florida",Communications Director,18,1,26.0,0.0,0.09090909090909091
Amy Jokinen,"Apopka, Florida",Massage Therapist,18,1,33.0,7.0,0.09090909090909091
Ashley Poe,"Roanoke, Texas",Grade School Teacher,18,1,27.0,1.0,0.09090909090909091
Christine Llano,"Miami, Florida",Police Support Specialist,18,1,25.0,1.0,0.09090909090909091
Kylie Lewis,"Rockford, Illinois",Interior Designer,18,1,24.0,2.0,0.09090909090909091
Lacy Faddoul,"Antelope Acres, California",Nursing Home Owner,18,1,26.0,0.0,0.09090909090909091
Lauren Higginson,"Edmond, Oklahoma",Mineral Coordinator,18,1,26.0,0.0,0.09090909090909091
Maggie Gantt,"Wagener, South Carolina",Personal Banker,18,1,26.0,0.0,0.09090909090909091
Valerie Eredia,"Sutter, California",Personal Trainer,18,1,28.0,2.0,0.09090909090909091
Whitney Bischoff,"Louisville, Kentucky",Fertility Nurse,19,11,30.0,4.0,1.0
Becca Tilley,"Shreveport, Louisiana",Chiropractic Assistant,19,10,27.0,1.0,0.9090909090909091
Kaitlyn Bristowe,"Leduc, Alberta",Dance Instructor,19,9,30.0,4.0,0.8181818181818182
Jade Roper,"Gering, Nebraska",Cosmetics Developer,19,8,29.0,3.0,0.7272727272727273
Carly Waddell,"Arlington, Texas",Cruise Ship Singer,19,7,30.0,4.0,0.6363636363636364
Britt Nilsson,"Detroit, Michigan",Waitress,19,7,28.0,2.0,0.6363636363636364
Megan Bell,"Nashville, Tennessee",Make-Up Artist,19,6,26.0,0.0,0.5454545454545454
Kelsey Poe,"Hudsonville, Michigan",Guidance Counselor,19,6,29.0,3.0,0.5454545454545454
Ashley Iaconetti,"Great Falls, Virginia",Nanny/Freelance Journalist,19,6,27.0,1.0,0.5454545454545454
Mackenzie Deonigi,"Maple Valley, Washington",Dental Assistant,19,5,22.0,4.0,0.45454545454545453
Samantha Steffen,"Indianapolis, Indiana",Fashion Designer,19,5,28.0,2.0,0.45454545454545453
Ashley Salter,"Vinings, Georgia",Hair Stylist,19,4,25.0,1.0,0.36363636363636365
Juelia Kinney,"Portland, Oregon",Esthetician,19,4,31.0,5.0,0.36363636363636365
Nikki Delventhal,"Hasbrouck Heights, New Jersey",Former NFL Cheerleader,19,4,26.0,0.0,0.36363636363636365
Jillian Anderson,"Howland, Ohio",News Producer,19,4,26.0,0.0,0.36363636363636365
Amber James,"Kankakee, Illinois",Bartender,19,3,30.0,4.0,0.2727272727272727
Tracy Darakis,"Wellington, Florida",Fourth Grade Teacher,19,3,30.0,4.0,0.2727272727272727
Trina Scherenberg,"Algonquin, Illinois",Special Education Teacher,19,3,34.0,8.0,0.2727272727272727
Alissa Giambrone,"Hamilton, New Jersey",Flight Attendant,19,2,25.0,1.0,0.18181818181818182
Jordan Branch,"Windsor, Colorado",Student,19,2,24.0,2.0,0.18181818181818182
Kimberly Sherbach,"Wantagh, New York",Yoga Instructor,19,1,29.0,3.0,0.09090909090909091
Tandra Steiner,"Sandy, Utah",Executive Assistant,19,2,31.0,5.0,0.18181818181818182
Tara Eddings,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,19,2,27.0,1.0,0.18181818181818182
Amanda Goerlitz,"Lake in the Hills, Illinois",Ballet Teacher,19,1,25.0,1.0,0.09090909090909091
Bo Stanley,"Carpinteria, California",Plus-Size Model,19,1,26.0,0.0,0.09090909090909091
Brittany Fetkin,"Temecula, California",WWE Diva-in-Training,19,1,27.0,1.0,0.09090909090909091
Kara Wilson,"Brownsville, Kentucky",High School Soccer Coach,19,1,25.0,1.0,0.09090909090909091
Michelle Davis,"Provo, Utah",Wedding Cake Baker,19,1,25.0,1.0,0.09090909090909091
Nicole Meacham,"Scottsdale, Arizona",Real Estate Agent,19,1,31.0,5.0,0.09090909090909091
Reegan Cornwell,"Manhattan Beach, California",Cadaver Tissue Saleswoman,19,1,29.0,3.0,0.09090909090909091
"Helene Eksterowicz
","Gloucester, New Jersey
","School psychologist
",2,8,27.0,7.0,1.0
