Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff
Danielle Vallis,"Bronx, New York",Attorney,10,1,26.0,1.0
Jackie Topelli,"Minneapolis, Minnesota",Executive coordinator,10,1,23.0,2.0
Jeanette Alvarez,"Tampa, Florida",Health care manager,10,1,27.0,2.0
Jessica Devallo,"New York, New York",Hedge fund analyst,10,1,32.0,7.0
Linda Malek,"Cuyahoga Falls, Ohio",Attorney,10,1,33.0,8.0
Lindsay Smith,"Lawrence, Kansas",Student,10,1,22.0,3.0
Tiffany Forester,"St. Louis Park, Minnesota",Real estate sales/development,10,1,27.0,2.0
DeAnna Pappas,"Newnan, Georgia",Realtor,11,8,26.0,5.0
Jenni Croft,"Wichita, Kansas",Phoenix Suns Cheerleader,11,8,28.0,3.0
Bettina Bell,"Washington, D.C.",Realtor,11,7,27.0,4.0
Sheena Stewart,"Walnut Creek, California",Internet marketing executive,11,6,23.0,8.0
Hillary Reisinger,"Philadelphia, Pennsylvania",Registered nurse,11,5,27.0,4.0
Kristy Katzmann,"Gurnee, Illinois",Acupuncturist,11,5,30.0,1.0
"Estefania ""Stephy"" Kootz","Atlanta, Georgia",Executive assistant,11,4,26.0,5.0
Jade Beazley,"Nashville, Tennessee",Boutique sales worker,11,4,24.0,7.0
McCarten Delaney,"Lemon Grove, California",Account manager,11,4,26.0,5.0
Lindsey Hawkins,"Livonia, Michigan",Model,11,3,25.0,6.0
Sarah Newlon,"O'Fallon, Illinois",Bar manager,11,3,23.0,8.0
Solisa Shoop,"Georgetown, Texas",Esthetician,11,3,26.0,5.0
Michele Leavy,"South Brunswick, New Jersey",Realtor,11,2,30.0,1.0
Mallory Simons,"Honolulu, Hawaii",Nanny,11,2,24.0,7.0
Erin Gardner,"Tampa, Florida",Publishing sales executive,11,2,25.0,6.0
Jessica Kiss,"Lady Lake, Florida",News anchor,11,1,27.0,4.0
Juli Gilliam,"Chicago, Illinois",Law student,11,1,24.0,7.0
Kim Orville,"Woodbridge, Connecticut",Realtor,11,1,31.0,0.0
Lori Langley,"Annapolis, Maryland",Teacher,11,1,33.0,2.0
Melissa Buschel,"Westchester, New York",Event planner,11,1,28.0,3.0
Morgan Becker,"Tempe, Arizona",Graduate student,11,1,24.0,7.0
Natalie Velasco,"Duncanville, Texas",Law student,11,1,25.0,6.0
Regina Doringa,"San Diego, California",Account representative,11,1,31.0,0.0
Tauni Nessler,"St. Louis Park, Minnesota",Emergency room nurse,11,1,31.0,0.0
Susan Coolidge,"St. Charles, Illinois",Project analyst,11,1,35.0,4.0
Shayne Lamas,"Malibu, California",Actress,12,9,23.0,0.0
Chelsea Wanstrath,"Durango, Colorado",Pharmaceutical sales representative,12,8,25.0,2.0
Amanda Rantuccio,"Niceville, Florida",Account Executive,12,7,28.0,5.0
Noelle Drake,"Loveland, Colorado",Photographer,12,6,27.0,4.0
Marshana Ritchie,"Brooklyn, New York",Fashion designer,12,5,27.0,4.0
Robin Canfield,"Holland, Michigan",Advertising coordinator,12,5,23.0,0.0
Ashlee Williss,"Jacksonville Beach, Florida",Singer-songwriter,12,4,23.0,0.0
Kelly Duncan,"Hollywood, California",Medical sales representative,12,4,25.0,2.0
Holly Durst,"Suffield, Ohio",Children's book author,12,4,25.0,2.0
Amy Bean,"Stockton, California",Nanny,12,3,23.0,0.0
Erin Storm,"Venice, California",Hot-dog vendor,12,3,33.0,10.0
Kristine Heffelfinger,"Dillsburg, Pennsylvania",Personal trainer,12,3,33.0,10.0
Michelle Procopio,"Syracuse, New York",Administrative assistant,12,2,29.0,6.0
"Caroline ""Carri"" Perrier","Oklahoma City, Oklahoma",Church marketing representative,12,2,25.0,2.0
Erin Harper,"Seattle, Washington",Event planner,12,2,25.0,2.0
Alyssa Gill,"Boise, Idaho",Biology student,12,1,24.0,1.0
Amanda Petterman,"LaFollette, Tennessee",Law student,12,1,26.0,3.0
Denise Hawthorne,"Washington, D.C",Attorney,12,1,30.0,7.0
Devon Antin,"Austin, Texas",Makeup artist,12,1,24.0,1.0
Lesley Geyer,"Tampa, Florida",Youth minister,12,1,24.0,1.0
Michele Romero,"Laguna Niguel, California",Interior designer,12,1,33.0,10.0
Rebecca LeBlanc,"Alamo, California",Attorney,12,1,30.0,7.0
Stacey Elza,"Chicago, Illinois",Graduate student,12,1,27.0,4.0
Tamara Sketz,"Beverly Hills, California",Cocktail waitress,12,1,23.0,0.0
Tiffany Thornburg,"San Francisco, California",Real estate marketing representative,12,1,33.0,10.0
Melissa Rycroft,"Dallas, Texas",Sales representative,13,9,26.0,2.0
Molly Malaney,"Brookfield, Wisconsin",Department store buyer,13,8,25.0,3.0
Jillian Harris,"Peace River, Alberta",Interior designer,13,7,30.0,2.0
Naomi Crespo,"Carlsbad, California",Flight attendant,13,6,25.0,3.0
Stephanie Hogan,"Huntsville, Alabama",Medical marketing representative,13,5,35.0,7.0
Lauren Wanger,"Marlboro, New Jersey",Teacher,13,4,28.0,0.0
Megan Parris,"Sewickley, Pennsylvania",Lacrosse coach,13,4,26.0,2.0
Shannon Bair,"Marshall, Missouri",Dental hygienist,13,4,30.0,2.0
Nikki Kaapke,"Blue Island, Illinois",Administrative assistant,13,4,30.0,2.0
Erica DeSimone,"Monroe, Connecticut",Account executive,13,3,25.0,3.0
Kari Fajen,"Lee's Summit, Missouri",Account executive,13,3,28.0,0.0
Natalie Getz,"Morton, Illinois",Human resources recruiter,13,3,28.0,0.0
Raquel Medeiros,"Recife, Pernambuco, Brazil",Medical student,13,2,28.0,0.0
Sharon Staebell,"Batavia, New York",Teacher,13,2,33.0,5.0
Lisa Gonzalez,"Boise, Idaho",Public relations associate,13,2,28.0,0.0
Ann Lueders,"Phoenix, Arizona",Flight attendant,13,1,24.0,4.0
Dominique Carta,"Mt. Carmel, Pennsylvania",Medical sales representative,13,1,27.0,1.0
Emily,"Seattle, Washington",Casino marketing representative,13,1,23.0,5.0
Jackie Hickey,"Springfield, Massachusetts",Wedding coordinator,13,1,26.0,2.0
Julie Dermotta,"Columbus, Ohio",Teacher,13,1,27.0,1.0
Nicole Mah,"Calgary, Alberta",Menswear buyer,13,1,25.0,3.0
Renee Simlak,"Southfield, Michigan",Jewelry designer,13,1,37.0,9.0
Shelby,"Stockton, California",Account executive,13,1,23.0,5.0
Stacia Mann,"Orem, Utah",Charity accountant,13,1,25.0,3.0
Treasure Morgan,"Salt Lake City, Utah",Nurse practitioner,13,1,28.0,0.0
Vienna Girardi,"Geneva, Florida",Marketing representative,14,9,24.0,2.0
Tenley Molzahn,"Newberg, Oregon",College admissions,14,8,26.0,0.0
Gia Allemand,"New York, New York", Swimsuit model,14,7,27.0,1.0
Ali Fedotowsky,"Williamstown, Massachusetts",Advertising account manager,14,6,26.0,0.0
Corrie Adamson,"Kissimmee, Florida",Wardrobe consultant,14,5,24.0,2.0
Ashleigh Hunt,"North Potomac, Maryland",Account manager,14,4,26.0,0.0
Jessie Sulidis,"Oakville, Ontario",Cosmetic sales manager,14,4,26.0,0.0
Kathryn Sherlock,"Lexington, Kentucky",Corporate flight attendant,14,4,26.0,0.0
Ella Nolan,"La Follette, Tennessee",Hair stylist,14,4,31.0,5.0
Elizabeth Kitt,"Imperial, Nebraska",Nanny,14,3,30.0,4.0
Valishia Savage,"San Bernardino, California",Homemaker,14,3,33.0,7.0
Michelle Kujawa,"Anaheim, California",Office manager,14,3,27.0,1.0
Ashley Elmore,"Pittsburgh, Pennsylvania",Teacher,14,2,29.0,3.0
Christina McCasland,"San Diego, California",Restaurant manager,14,2,26.0,0.0
Rozlyn Papa,"Richmond, Virginia",Model/Makeup artist,14,2,29.0,3.0
"Alexa ""Lex"" McAllister","Galloway, Ohio",Entrepreneur,14,1,26.0,0.0
Caitlyn McCabe,"Winfield, Illinois",Spokesmodel,14,1,25.0,1.0
Channy Choch,"Santa Rosa, California",Mortgage loan officer,14,1,29.0,3.0
Elizabeth Kreft,"Union, Kentucky","Captain, Air National Guard",14,1,31.0,5.0
Emily Harkins,"West Chester, Ohio",Fitness model,14,1,24.0,2.0
Kimberly Sullivan,"Norman, Oklahoma",NBA dancer,14,1,24.0,2.0
Kirsten Pittman,"Aurora, Colorado",Waitress,14,1,26.0,0.0
Sheila Lidner,"Scottsdale, Arizona",Commercial pilot,14,1,25.0,1.0
Stephanie Mueller,"Morris, Illinois",Dance teacher,14,1,24.0,2.0
Tiana Kruzel,"Calgary, Alberta",Medical technician,14,1,31.0,5.0
Emily Maynard,"Morgantown, West Virginia",Children's Hospital Event Planner,15,11,25.0,8.0
Chantal O'Brien,"Mercer Island, Washington",Executive Assistant,15,10,29.0,4.0
Ashley Hebert,"Madawaska, Maine",Dental Student,15,9,27.0,6.0
Shawntel Newton,"Chico, California",Funeral Director,15,8,27.0,6.0
Michelle Money,"Salt Lake City, Utah",Hair stylist,15,7,31.0,2.0
Britt Billmaier,"Woodinville, Washington",Food writer,15,7,26.0,7.0
Jackie Gordon,"Newport, Rhode Island",Artist,15,6,27.0,6.0
Alli Travis,"Columbus, Ohio",Apparel merchant,15,6,25.0,8.0
Lisa Morrisey,"Ottawa, Kansas",Marketing Coordinator,15,5,25.0,8.0
Marissa May,"Mesa, Arizona",Sports Publicist,15,5,27.0,6.0
Ashley Spivey,"Ellerbe, North Carolina",Nanny,15,5,27.0,6.0
Lindsay Hill,"Plano, Texas",First grade teacher,15,4,26.0,7.0
Meghan Merritt,"Princeton, New Jersey",Fashion Marketer,15,4,31.0,2.0
Stacey Quirpel,"Quincy, Massachusetts",Bartender,15,4,26.0,7.0
Kimberly Coon,"Orlando, Florida",Marketing Coordinator,15,3,29.0,4.0
Sarah Powell,"Denver, Colorado",Real Estate Broker,15,3,27.0,6.0
Madison Garton,"Vail, Colorado",Model,15,3,26.0,7.0
Keltie Busch,"Sherwood Park, Alberta",Radio City Rockette,15,2,29.0,4.0
Melissa Schreiber,"Westport, Connecticut",Waitress,15,2,33.0,0.0
Raichel Goodyear,"Fullerton, California",Manscaper,15,2,30.0,3.0
Britnee Marks,"Holland, Pennsylvania",Paralegal,15,1,26.0,7.0
Cristy Caserta,"Davie, Florida", Attorney,15,1,31.0,2.0
"Jessica ""J"" Adams","Seattle, Washington",Operations Manager,15,1,26.0,7.0
Jill Ruskowski,"Frisco, Texas",Sales director,15,1,29.0,4.0
Lacey Garbelman,"Tampa, Florida",Insurance agent,15,1,28.0,5.0
Lauren Moore,"Culpeper, Virginia",High School Teacher,15,1,27.0,6.0
Lisa Pastrich,"Dix Hills, New York",Sales Consultant,15,1,28.0,5.0
Rebecca,"Mission Viejo, California",Esthetician,15,1,30.0,3.0
Renee Halpin,"Palos Hills, Illinois",Nanny,15,1,29.0,4.0
Sarah Ledtke,"Saginaw, Michigan",Musical Theatre Performer,15,1,26.0,7.0
Courtney Robertson,"Scottsdale, Arizona",Model,16,11,29.0,5.0
Lindzi Cox,"Newcastle, Washington",Business development manager,16,10,28.0,4.0
Nicki Sterling,"Hurst, Texas",Dental hygienist,16,9,26.0,2.0
Kacie Boguskie,"Clarksville, Tennessee",Administrative assistant,16,8,25.0,1.0
Emily O'Brien,"Chapel Hill, North Carolina",PhD Student,16,7,28.0,4.0
Rachel Truehart,"Southampton, Massachusetts",Fashion sales representative,16,7,28.0,4.0
Jamie Otis,"Dryden, New York",Registered nurse,16,6,26.0,2.0
Casey Shteamer,"Leawood, Kansas",Trading clerk,16,6,27.0,3.0
Blakeley Jones,"Rutherfordton, North Carolina",VIP cocktail waitress,16,6,35.0,11.0
Jennifer Fritsch,"Cache, Oklahoma",Accountant,16,5,29.0,5.0
Elyse Myers,"Chicago, Illinois",Personal trainer,16,5,25.0,1.0
Monica Spannbauer,"Yuba, California",Dental consultant,16,4,34.0,10.0
Samantha Levey,"Pittsburgh, Pennsylvania",Advertising account manager,16,4,27.0,3.0
Jaclyn Swartz,"Newton, Massachusetts",Advertising account manager,16,3,28.0,4.0
Erika Uhlig,"Charlottesville, Virginia",Law student,16,3,24.0,0.0
Brittney Schreiner,"Colorado Springs, Colorado",Medical sales representative,16,3,27.0,3.0
Shawn Reynolds,"Cincinnati, Ohio",Financial advisor,16,2,29.0,5.0
Jenna Burke,"Loveland, Ohio",Blogger,16,2,28.0,4.0
Amber Bacon,"Port Coquitlam, British Columbia",Labor and delivery nurse,16,1,23.0,1.0
Amber Tierney,"Waverly, Nebraska",Critical care nurse,16,1,28.0,4.0
Anna Snowball,"Detroit, Michigan",Student,16,1,25.0,1.0
Dianna Martinez,"San Gabriel, California",Nonprofit director,16,1,31.0,7.0
Holly Johnson,"Salyersville, Kentucky",Pharmaceutical sales representative,16,1,34.0,10.0
Lyndsie James,"London, England",Internet entrepreneur,16,1,29.0,5.0
Shira Astrof,"Massapequa Park, New York",Actress,16,1,35.0,11.0
Catherine Giudici,"Seattle, Washington",Graphic Designer,17,11,27.0,4.0
Lindsay Yenter,"Fort Bragg, North Carolina",Substitute Teacher,17,10,25.0,2.0
AshLee Frazier,"Houston, Texas",Personal Organizer,17,9,33.0,10.0
Desiree Hartsock,"Northglenn, Colorado",Bridal Stylist,17,8,27.0,4.0
Lesley Murphy,"Fort Smith, Arkansas",Political Consultant,17,7,26.0,3.0
Tierra LiCausi,"Las Vegas, Nevada",Leasing Consultant,17,7,25.0,2.0
Daniella McBride,"Belmont, California",Commercial Casting Associate,17,6,25.0,2.0
Selma Alameri,"Borrego Springs, California",Real Estate Dealer,17,6,31.0,8.0
Sarah Herron,"Evergreen, Colorado",Advertising Executive,17,6,27.0,4.0
Robyn Howard,"Topeka, Kansas",Oil Field Account Manager,17,5,25.0,2.0
Jackie Parr,"Ormond Beach, Florida",Cosmetics Consultant,17,5,26.0,3.0
Amanda Meyer,"Bakersfield, California",Fit Model,17,4,27.0,4.0
Leslie Hughes,"Ruskin, Florida",Poker Dealer,17,4,30.0,7.0
Kristy Kaminski,"Darien, Wisconsin",Model,17,3,26.0,3.0
Taryn Daniels,"Troutdale, Oregon",Health Club Manager,17,3,31.0,8.0
Brooke Burchette,"Pittsburgh, Pennsylvania",Community Organizer,17,2,25.0,2.0
Diana Weeks-Willardson,"Sandy, Utah",Salon Owner,17,2,32.0,9.0
Katie Levans,"Woodstock, Illinois",Yoga Instructor,17,2,28.0,5.0
Ashley Harper,"Garner, North Carolina",Fashion Model,17,1,25.0,2.0
Ashley Palenkas,"Macomb, Michigan",Hair Stylist,17,1,29.0,6.0
Kelly Dutton,"Chattanooga, Tennessee",Cruise Ship Entertainer,17,1,29.0,6.0
Keriann Miranda,"Agoura Hills, California",Entrepreneur,17,1,30.0,7.0
Lacey Latka,"Valencia, California",Graduate Student,17,1,25.0,2.0
Lauren Marchetti,"Cranston, Rhode Island",Journalist,17,1,28.0,5.0
Paige Vigil,"Minnetonka, Minnesota",Jumbotron Operator,17,1,26.0,3.0
Nikki Ferrell,"Kearney, Missouri",Pediatric Nurse,18,11,28.0,2.0
Clare Crawley,"Sacramento, California",Hairstylist,18,10,33.0,7.0
Andi Dorfman,"Buckhead, Georgia",Assistant District Attorney,18,9,27.0,1.0
Renee Oteri,"Martha's Vineyard, Massachusetts",Real Estate Agent,18,8,33.0,7.0
Chelsie Webster,"Lexington, Ohio",Science Educator,18,7,25.0,1.0
Sharleen Joynt,"Ottawa, Ontario",Opera Singer,18,7,30.0,4.0
Kat Hurd,"Iowa City, Iowa",Medical Sales Representative,18,6,30.0,4.0
Cassandra Ferguson,"Shelby Charter Township, Michigan",Former NBA Dancer,18,6,23.0,3.0
Alli Restko,"Orland Park, Illinois",Nanny,18,5,28.0,2.0
Danielle Ronco,"Litchfield, Illinois",Psychiatric Nurse,18,5,26.0,0.0
Kelly Travis,"Conyers, Georgia",Dog Lover,18,5,28.0,2.0
Elise Mosca,"Forty Fort, Pennsylvania",First Grade Teacher,18,4,28.0,2.0
Lauren Solomon,"Clinton, Michigan",Music Composer,18,4,27.0,1.0
Christy Hansen,"Aurora, Illinois",Marketing Manager,18,3,26.0,0.0
"Lucinda ""Lucy"" Aragon","Santa Barbara, California",Free Spirit,18,3,26.0,0.0
Amy Long,"Clermont, Florida",Local News Reporter,18,2,28.0,2.0
Chantel Forrest,"Miami, Florida",Account Manager,18,2,28.0,2.0
Victoria Lima,"Porto Alegre, Brazil",Legal Assistant,18,2,24.0,2.0
Alexis Morgado,"Tampa, Florida",Communications Director,18,1,26.0,0.0
Amy Jokinen,"Apopka, Florida",Massage Therapist,18,1,33.0,7.0
Ashley Poe,"Roanoke, Texas",Grade School Teacher,18,1,27.0,1.0
Christine Llano,"Miami, Florida",Police Support Specialist,18,1,25.0,1.0
Kylie Lewis,"Rockford, Illinois",Interior Designer,18,1,24.0,2.0
Lacy Faddoul,"Antelope Acres, California",Nursing Home Owner,18,1,26.0,0.0
Lauren Higginson,"Edmond, Oklahoma",Mineral Coordinator,18,1,26.0,0.0
Maggie Gantt,"Wagener, South Carolina",Personal Banker,18,1,26.0,0.0
Valerie Eredia,"Sutter, California",Personal Trainer,18,1,28.0,2.0
Whitney Bischoff,"Louisville, Kentucky",Fertility Nurse,19,11,30.0,4.0
Becca Tilley,"Shreveport, Louisiana",Chiropractic Assistant,19,10,27.0,1.0
Kaitlyn Bristowe,"Leduc, Alberta",Dance Instructor,19,9,30.0,4.0
Jade Roper,"Gering, Nebraska",Cosmetics Developer,19,8,29.0,3.0
Carly Waddell,"Arlington, Texas",Cruise Ship Singer,19,7,30.0,4.0
Britt Nilsson,"Detroit, Michigan",Waitress,19,7,28.0,2.0
Megan Bell,"Nashville, Tennessee",Make-Up Artist,19,6,26.0,0.0
Kelsey Poe,"Hudsonville, Michigan",Guidance Counselor,19,6,29.0,3.0
Ashley Iaconetti,"Great Falls, Virginia",Nanny/Freelance Journalist,19,6,27.0,1.0
Mackenzie Deonigi,"Maple Valley, Washington",Dental Assistant,19,5,22.0,4.0
Samantha Steffen,"Indianapolis, Indiana",Fashion Designer,19,5,28.0,2.0
Ashley Salter,"Vinings, Georgia",Hair Stylist,19,4,25.0,1.0
Juelia Kinney,"Portland, Oregon",Esthetician,19,4,31.0,5.0
Nikki Delventhal,"Hasbrouck Heights, New Jersey",Former NFL Cheerleader,19,4,26.0,0.0
Jillian Anderson,"Howland, Ohio",News Producer,19,4,26.0,0.0
Amber James,"Kankakee, Illinois",Bartender,19,3,30.0,4.0
Tracy Darakis,"Wellington, Florida",Fourth Grade Teacher,19,3,30.0,4.0
Trina Scherenberg,"Algonquin, Illinois",Special Education Teacher,19,3,34.0,8.0
Alissa Giambrone,"Hamilton, New Jersey",Flight Attendant,19,2,25.0,1.0
Jordan Branch,"Windsor, Colorado",Student,19,2,24.0,2.0
Kimberly Sherbach,"Wantagh, New York",Yoga Instructor,19,1,29.0,3.0
Tandra Steiner,"Sandy, Utah",Executive Assistant,19,2,31.0,5.0
Tara Eddings,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,19,2,27.0,1.0
Amanda Goerlitz,"Lake in the Hills, Illinois",Ballet Teacher,19,1,25.0,1.0
Bo Stanley,"Carpinteria, California",Plus-Size Model,19,1,26.0,0.0
Brittany Fetkin,"Temecula, California",WWE Diva-in-Training,19,1,27.0,1.0
Kara Wilson,"Brownsville, Kentucky",High School Soccer Coach,19,1,25.0,1.0
Michelle Davis,"Provo, Utah",Wedding Cake Baker,19,1,25.0,1.0
Nicole Meacham,"Scottsdale, Arizona",Real Estate Agent,19,1,31.0,5.0
Reegan Cornwell,"Manhattan Beach, California",Cadaver Tissue Saleswoman,19,1,29.0,3.0
"Helene Eksterowicz
","Gloucester, New Jersey
","School psychologist
",2,8,27.0,7.0
"Brooke Smith
","Albertville, Alabama
","College student
",2,7,22.0,12.0
"Gwen Gioia
","Philadelphia, Pennsylvania
","Executive recruiter
",2,6,31.0,3.0
"Angela Vaught
","Kansas City, Missouri
","Registered nurse
",2,5,27.0,7.0
"Hayley Crittenden
","Lake Oswego, Oregon
","Retail manager
",2,4,28.0,6.0
"Heather Cranford
","Dallas, Texas
","Flight attendant
",2,4,30.0,4.0
"Christi Weible
","Boise, Idaho
","Assistant financial advisor
",2,3,23.0,11.0
"Heather Campion
","Walnut Creek, California
","Marriage therapy trainee
",2,3,24.0,10.0
"Kyla Dickerson
","Midvale, Utah
","Airline supervisor
",2,3,22.0,12.0
"Shannon Fries
","Long Island, New York
","Graphic artist
",2,3,26.0,8.0
"Dana Norris
","Beverly Hills, California
","Radio sales
",2,2,24.0,10.0
"Erin B.
","Westchester, Pennsylvania
","Publications quality control
",2,2,25.0,9.0
"Suzanne Freeman
","Redondo Beach, California
","Flight attendant
",2,2,33.0,1.0
"Frances Dinglasan
","San Francisco, California
","Strategic planning analyst
",2,2,30.0,4.0
"Anindita Dutta
","New York, New York
","Attorney
",2,2,27.0,7.0
"Amber West
","Chapel Hill, North Carolina
","Psychologist
",2,1,26.0,8.0
"Camille Langfield
","Los Angeles, California
","Actress
",2,1,29.0,5.0
"Cari
","Granite City, Illinois
","Teacher
",2,1,29.0,5.0
"Christy
","Avondale, Arizona
","Radiological technologist
",2,1,24.0,10.0
"Erin
","Houston, Texas
","Interior designer
",2,1,24.0,10.0
"Fatima Rivas
","Long Beach, California
","College student
",2,1,22.0,12.0
"Liangy Fernandez
","Coral Gables, Florida
","Paralegal
",2,1,30.0,4.0
"Lori Todd
","Dallas, Texas
","Former NBA cheerleader
",2,1,26.0,8.0
"Merrilee Donahue
","Forked River, New Jersey
","Teacher
",2,1,28.0,6.0
"Suzi Reid
","Richmond, Virginia
","Communications specialist
",2,1,28.0,6.0
Lauren Bushnell,"West Linn, Oregon",Flight Attendant,20,11,26.0,6.0
"Joelle ""JoJo"" Fletcher","Dallas, Texas",Real Estate Developer,20,10,26.0,6.0
Caila Quinn,"Hudson, Ohio",Software Sales Representative,20,9,25.0,5.0
Amanda Stanton,"Laguna Beach, California",Esthetician,20,8,26.0,6.0
Emily Ferguson,"Las Vegas, Nevada",Waitress/Twin,20,7,24.0,4.0
Lauren Himle,"Dexter, Michigan",Kindergarten Teacher,20,6,26.0,6.0
Olivia Caridi,"Austin, Texas",Former News Anchor,20,6,24.0,4.0
Leah Block,"Aurora, Colorado",Event Planner,20,6,26.0,6.0
Jennifer Saviano,"Davie, Florida",Small Business Owner,20,5,27.0,7.0
Jubilee Sharpe,"Fort Lauderdale, Florida",War Veteran,20,5,25.0,5.0
Rachel Tchen,"Little Rock, Arkansas",Unemployed,20,4,24.0,4.0
Haley Ferguson,"Las Vegas, Nevada",Waitress/Twin,20,4,24.0,4.0
Jami Letain,"St. Albert, Alberta",Bartender,20,3,24.0,4.0
Shushanna Mkrtychyan,"Salt Lake City, Utah",Property manager,20,3,28.0,8.0
Lace Morris,"Denver, Colorado",Real Estate Agent,20,3,27.0,7.0
"Amanda ""Mandi"" Kremer","Portland, Oregon",Dentist,20,2,30.0,10.0
"Jacqueline ""Jackie"" Dion","Newport Beach, California",Gerontologist,20,2,24.0,4.0
Samantha Passmore,"New Smyrna Beach, Florida",Attorney,20,2,28.0,8.0
"Lauren ""LB"" Barr","Stillwater, Oklahoma",Fashion Buyer,20,2,24.0,4.0
Breanne Rice,"Seattle, Washington",Nutritional Therapist,20,1,31.0,11.0
Izzy Goodkind,"Branford, Connecticut",Graphic Designer,20,1,26.0,6.0
Jessica Moser,"Boca Raton, Florida",Accountant,20,1,24.0,4.0
Laura Esselman,"Louisville, Kentucky",Account Executive,20,1,25.0,5.0
Lauren Russell,"Houston, Texas",Math Teacher,20,1,27.0,7.0
Maegan Miller,"Visalia, California",Cowgirl,20,1,31.0,11.0
Tiara Soleim,"Redmond, Washington",Chicken Enthusiast,20,1,28.0,8.0
Vanessa Grimaldi,"Montreal, Quebec",Special Education Teacher,21,11,30.0,0.0
Raven Gates,"Hoxie, Arkansas",Fashion Boutique Owner,21,10,26.0,4.0
Rachel Lindsay,"Dallas, Texas",Attorney,21,9,32.0,2.0
Corinne Olympios,"Miami, Florida",Business Owner,21,8,26.0,4.0
Kristina Schulman,"Lexington, Kentucky",Dental Hygienist,21,7,26.0,4.0
Danielle Maltby,"Germantown, Wisconsin",Neonatal Nurse,21,7,32.0,2.0
Danielle Lombard,"Los Angeles, California",Small Business Owner,21,6,29.0,1.0
Whitney Fransway,"Chanhassen, Minnesota",Pilates Instructor,21,6,26.0,4.0
Jasmine Goode,"Maplewood, New Jersey",Pro Basketball Dancer,21,6,30.0,0.0
