customer_id,state,sex,age,occupation,family_size,income,ad_type,ad_medium,ad_response,items_purchased,drinks_purchased,Occurance,ad_type_id,ad_medium_id
6628,AL,F,43.0,Food Service,2,38364,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,0,"['beefy 5 layer burrito', 'mexican pizza', 'cravings box']","['diet pepsi', 'mug root beer', 'iced tea']",0.0,7.0,0.0
9065,TX,F,22.0,Student,1,14602,BOGO - Baja Blast,15 sec YouTube ad,0,"['cheesy bean and rice burrito', 'crunchy taco']","['baja blast', 'iced tea']",0.0,5.0,1.0
9145,TX,F,26.0,IT,2,89892,BOGO - Garlic Steak Nacho Fries,15 sec TikTok ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries', 'cinnamon twists']","['mug root beer', 'mug root beer', 'baja blast']",2.0,2.0,5.0
8527,FL,F,60.0,Government,0,136002,BOGO - Garlic Steak Nacho Fries,30 sec cable TV ad,0,['spicy potato soft taco'],['mountain dew'],0.0,2.0,2.0
1423,WY,F,47.0,Government,0,98735,DISCOUNT-10%,30 sec Hulu commercial,0,['chicken quesadilla'],['diet pepsi'],0.0,1.0,4.0
6552,NY,F,35.0,Education,1,58071,DISCOUNT-50%,15 sec YouTube ad,1,"['soft taco', 'cheesy gordita crunch']","['baja blast', 'baja blast']",0.0,6.0,1.0
1051,TX,M,29.0,Government,3,62024,DISCOUNT-10%,15 sec YouTube ad,1,"['crunchy taco', 'soft taco', 'cinnamon twists', 'cheesy gordita crunch']","['diet pepsi', 'gatorade', 'gatorade', 'mug root beer']",0.0,1.0,1.0
6468,AZ,M,51.0,Retail,0,51776,DISCOUNT-20%,Static Facebook ad,0,['beefy 5 layer burrito'],['pepsi'],0.0,0.0,3.0
3764,WY,M,23.0,Student,0,14379,DISCOUNT-5%,15 sec YouTube ad,1,['cheesy gordita crunch'],['mountain dew'],0.0,3.0,1.0
1021,FL,F,65.0,Retired,4,0,BOGO - Baja Blast,30 sec cable TV ad,1,"['chicken quesadilla', 'nachos bellgrande', 'soft taco', 'mexican pizza', 'crunchy taco']","['baja blast', 'baja blast', 'gatorade', 'baja blast', 'mug root beer']",0.0,5.0,2.0
8272,PA,F,26.0,Other,2,44625,BOGO - Baja Blast,15 sec YouTube ad,1,"['steak garlic nacho fries', 'crunchwrap supreme', 'cheesy bean and rice burrito']","['baja blast', 'baja blast', 'brisk']",1.0,5.0,1.0
5154,CA,F,23.0,Student,2,14177,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,0,"['steak garlic nacho fries', 'chicken quesadilla', 'cheesy bean and rice burrito']","['gatorade', 'pepsi', 'diet pepsi']",1.0,7.0,1.0
3314,MS,F,41.0,Unemployed,1,0,DISCOUNT-50%,15 sec YouTube ad,1,"['spicy potato soft taco', 'chalupa supreme']","['baja blast', 'baja blast']",0.0,6.0,1.0
1841,IL,F,30.0,Retail,1,37840,DISCOUNT-20%,15 sec YouTube ad,1,"['chalupa supreme', 'chicken quesadilla']","['starry', 'pepsi']",0.0,0.0,1.0
3620,NY,M,26.0,Government,2,62718,BOGO - Baja Blast,15 sec TikTok ad,0,"['nachos bellgrande', 'beefy 5 layer burrito', 'cheesy bean and rice burrito']","['diet pepsi', 'brisk', 'mug root beer']",0.0,5.0,5.0
4377,GA,F,34.0,Education,1,57970,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,1,"['steak garlic nacho fries', 'soft taco', 'chicken quesadilla', 'cheesy bean and rice burrito', 'steak garlic nacho fries', 'cheesy bean and rice burrito', 'chicken quesadilla', 'chicken quesadilla', 'mexican pizza']","['baja blast', 'baja blast']",2.0,7.0,1.0
839,NV,M,28.0,Education,3,53109,DISCOUNT-5%,15 sec YouTube ad,1,"['crunchwrap supreme', 'chicken quesadilla', 'soft taco', 'spicy potato soft taco']","['baja blast', 'pepsi', 'starry', 'mug root beer']",0.0,3.0,1.0
2972,CA,F,22.0,Student,2,14038,REWARD - Free Baja Blast with purchase of $20 or more,15 sec TikTok ad,0,"['crunchy taco', 'nachos bellgrande', 'spicy potato soft taco']","['brisk', 'starry', 'mug root beer']",0.0,4.0,5.0
6003,MT,F,43.0,Unemployed,3,0,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,0,"['crunchwrap supreme', 'beefy 5 layer burrito', 'chalupa supreme', 'steak garlic nacho fries']","['baja blast', 'mug root beer', 'iced tea', 'brisk']",1.0,7.0,0.0
9898,PA,F,34.0,Government,4,76490,DISCOUNT-20%,15 sec YouTube ad,1,"['cravings box', 'cheesy bean and rice burrito', 'mexican pizza', 'chalupa supreme', 'crunchwrap supreme']","['iced tea', 'baja blast', 'starry', 'mug root beer', 'pepsi']",0.0,0.0,1.0
8928,MI,M,27.0,Government,0,63492,DISCOUNT-20%,15 sec TikTok ad,0,['crunchy taco'],['mug root beer'],0.0,0.0,5.0
821,IL,F,43.0,Unemployed,1,0,DISCOUNT-20%,Instagram photo ad,0,"['chalupa supreme', 'chicken quesadilla']","['pepsi', 'diet pepsi']",0.0,0.0,0.0
2716,FL,F,58.0,Healthcare,1,245374,BOGO - Baja Blast,30 sec Hulu commercial,1,"['cinnamon twists', 'cinnamon twists']","['baja blast', 'baja blast']",0.0,5.0,4.0
5086,WI,F,28.0,Education,2,53657,REWARD - Free Baja Blast with purchase of $20 or more,Instagram photo ad,0,"['nachos bellgrande', 'crunchwrap supreme', 'cravings box']","['iced tea', 'diet pepsi', 'mug root beer']",0.0,4.0,0.0
722,CA,F,28.0,Government,1,66934,BOGO - Baja Blast,15 sec YouTube ad,1,"['steak garlic nacho fries', 'cheesy bean and rice burrito']","['baja blast', 'baja blast']",1.0,5.0,1.0
7902,OH,F,41.0,Food Service,1,36532,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,0,"['spicy potato soft taco', 'beefy 5 layer burrito']","['baja blast', 'brisk']",0.0,2.0,0.0
39,FL,F,65.0,Retired,3,0,DISCOUNT-20%,Newspaper ad,0,"['cheesy gordita crunch', 'crunchwrap supreme', 'cheesy bean and rice burrito', 'cheesy bean and rice burrito']","['brisk', 'mountain dew', 'baja blast', 'gatorade']",0.0,0.0,6.0
5247,WV,M,31.0,IT,1,112766,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,1,"['steak garlic nacho fries', 'cheesy gordita crunch', 'cheesy gordita crunch', 'beefy 5 layer burrito', 'crunchwrap supreme', 'cinnamon twists', 'nachos bellgrande', 'spicy potato soft taco', 'crunchwrap supreme']","['mountain dew', 'starry']",1.0,7.0,1.0
3214,GA,M,36.0,Retail,5,35624,BOGO - Baja Blast,15 sec YouTube ad,0,"['beefy 5 layer burrito', 'chalupa supreme', 'nachos bellgrande', 'mexican pizza', 'soft taco', 'chalupa supreme']","['pepsi', 'diet pepsi', 'starry', 'baja blast', 'mug root beer', 'baja blast']",0.0,5.0,1.0
5446,LA,M,39.0,Retail,2,43296,DISCOUNT-5%,Instagram photo ad,0,"['chicken quesadilla', 'mexican pizza', 'nachos bellgrande']","['baja blast', 'baja blast', 'pepsi']",0.0,3.0,0.0
7748,TX,F,26.0,Government,2,55987,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,0,"['beefy 5 layer burrito', 'cinnamon twists', 'soft taco']","['gatorade', 'iced tea', 'starry']",0.0,2.0,1.0
1839,ID,M,31.0,Government,3,61823,DISCOUNT-20%,15 sec YouTube ad,1,"['crunchy taco', 'mexican pizza', 'cheesy gordita crunch', 'soft taco']","['pepsi', 'gatorade', 'pepsi', 'gatorade']",0.0,0.0,1.0
616,CA,F,23.0,Government,1,61840,DISCOUNT-50%,15 sec TikTok ad,1,"['cheesy bean and rice burrito', 'steak garlic nacho fries']","['mountain dew', 'brisk']",1.0,6.0,5.0
1176,LA,M,46.0,Other,1,73281,DISCOUNT-20%,30 sec Hulu commercial,0,"['spicy potato soft taco', 'spicy potato soft taco']","['mug root beer', 'brisk']",0.0,0.0,4.0
4882,TX,F,29.0,Retail,1,38669,REWARD - Free Baja Blast with purchase of $20 or more,Instagram photo ad,0,"['steak garlic nacho fries', 'soft taco']","['baja blast', 'mountain dew']",1.0,4.0,0.0
1336,KY,F,30.0,Food Service,3,30210,DISCOUNT-10%,15 sec YouTube ad,1,"['spicy potato soft taco', 'cravings box', 'cinnamon twists', 'mexican pizza']","['mug root beer', 'brisk', 'baja blast', 'pepsi']",0.0,1.0,1.0
4448,CA,F,31.0,Government,2,65282,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,0,"['chalupa supreme', 'steak garlic nacho fries', 'cravings box']","['diet pepsi', 'diet pepsi', 'diet pepsi']",1.0,2.0,1.0
6531,IL,F,40.0,IT,2,142428,DISCOUNT-50%,15 sec YouTube ad,1,"['cheesy gordita crunch', 'cheesy bean and rice burrito', 'soft taco']","['diet pepsi', 'mountain dew', 'mug root beer']",0.0,6.0,1.0
8946,MN,M,44.0,Healthcare,1,134829,DISCOUNT-50%,30 sec Hulu commercial,1,"['chicken quesadilla', 'soft taco']","['baja blast', 'mountain dew']",0.0,6.0,4.0
4283,OH,F,38.0,Food Service,3,32370,DISCOUNT-10%,15 sec YouTube ad,1,"['spicy potato soft taco', 'steak garlic nacho fries', 'spicy potato soft taco', 'cravings box']","['diet pepsi', 'mountain dew', 'mountain dew', 'gatorade']",1.0,1.0,1.0
6673,MN,M,31.0,Healthcare,2,96134,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,0,"['crunchwrap supreme', 'cravings box', 'spicy potato soft taco']","['pepsi', 'iced tea', 'brisk']",0.0,2.0,1.0
2479,GA,F,51.0,Retail,1,51917,DISCOUNT-20%,30 sec Hulu commercial,1,"['crunchy taco', 'spicy potato soft taco']","['baja blast', 'starry']",0.0,0.0,4.0
5116,CA,M,27.0,Retail,4,31233,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec TikTok ad,0,"['cinnamon twists', 'cheesy gordita crunch', 'cheesy gordita crunch', 'crunchy taco', 'cheesy gordita crunch']","['diet pepsi', 'diet pepsi', 'diet pepsi', 'mountain dew', 'starry']",0.0,7.0,5.0
605,NM,M,49.0,Retail,3,44654,DISCOUNT-10%,30 sec Hulu commercial,0,"['chalupa supreme', 'nachos bellgrande', 'cheesy bean and rice burrito', 'mexican pizza']","['gatorade', 'brisk', 'diet pepsi', 'mug root beer']",0.0,1.0,4.0
3145,TX,M,25.0,Retail,1,31245,DISCOUNT-20%,15 sec YouTube ad,0,"['cravings box', 'cheesy bean and rice burrito']","['mug root beer', 'baja blast']",0.0,0.0,1.0
5942,NY,M,40.0,Other,1,64142,DISCOUNT-50%,15 sec YouTube ad,0,"['beefy 5 layer burrito', 'soft taco']","['iced tea', 'baja blast']",0.0,6.0,1.0
3581,TX,F,23.0,Student,1,13997,BOGO - Baja Blast,15 sec YouTube ad,1,"['nachos bellgrande', 'cheesy bean and rice burrito']","['baja blast', 'baja blast']",0.0,5.0,1.0
9252,HI,F,41.0,Retail,3,45413,DISCOUNT-10%,Instagram photo ad,0,"['cheesy bean and rice burrito', 'spicy potato soft taco', 'nachos bellgrande', 'spicy potato soft taco']","['iced tea', 'starry', 'iced tea', 'gatorade']",0.0,1.0,0.0
5017,PA,F,43.0,Government,2,90299,DISCOUNT-10%,15 sec YouTube ad,1,"['nachos bellgrande', 'spicy potato soft taco', 'soft taco']","['diet pepsi', 'gatorade', 'diet pepsi']",0.0,1.0,1.0
3578,TX,F,22.0,Education,5,42090,DISCOUNT-5%,15 sec YouTube ad,0,"['soft taco', 'beefy 5 layer burrito', 'cheesy gordita crunch', 'soft taco', 'spicy potato soft taco', 'cinnamon twists']","['starry', 'mountain dew', 'gatorade', 'brisk', 'pepsi', 'starry']",0.0,3.0,1.0
7457,MI,M,33.0,Government,4,70852,DISCOUNT-20%,Instagram photo ad,1,"['cravings box', 'nachos bellgrande', 'steak garlic nacho fries', 'cravings box', 'soft taco']","['mug root beer', 'brisk', 'gatorade', 'diet pepsi', 'mug root beer']",1.0,0.0,0.0
1639,IN,M,57.0,Government,1,118795,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,30 sec Hulu commercial,0,"['crunchwrap supreme', 'cheesy gordita crunch']","['brisk', 'baja blast']",0.0,7.0,4.0
5241,MN,F,44.0,Food Service,2,36043,BOGO - Baja Blast,30 sec Hulu commercial,1,"['crunchy taco', 'crunchy taco', 'cravings box']","['baja blast', 'baja blast', 'mountain dew']",0.0,5.0,4.0
6665,NC,F,42.0,IT,2,159601,BOGO - Baja Blast,Instagram photo ad,1,"['crunchwrap supreme', 'soft taco', 'nachos bellgrande']","['baja blast', 'baja blast', 'gatorade']",0.0,5.0,0.0
1422,MI,F,60.0,Government,1,127023,DISCOUNT-50%,Newspaper ad,1,"['chicken quesadilla', 'steak garlic nacho fries']","['iced tea', 'diet pepsi']",1.0,6.0,6.0
2927,DE,M,35.0,Healthcare,3,108091,DISCOUNT-5%,Instagram photo ad,0,"['chalupa supreme', 'cheesy bean and rice burrito', 'chicken quesadilla', 'beefy 5 layer burrito']","['brisk', 'iced tea', 'diet pepsi', 'baja blast']",0.0,3.0,0.0
3127,CA,F,19.0,Student,1,13674,DISCOUNT-20%,15 sec YouTube ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries']","['diet pepsi', 'diet pepsi']",2.0,0.0,1.0
8502,UT,F,27.0,Government,1,57760,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,1,"['crunchwrap supreme', 'beefy 5 layer burrito', 'nachos bellgrande', 'spicy potato soft taco', 'chicken quesadilla', 'cheesy gordita crunch', 'nachos bellgrande', 'crunchy taco']","['baja blast', 'diet pepsi']",0.0,4.0,1.0
5168,NM,F,50.0,Education,2,83337,DISCOUNT-50%,30 sec Hulu commercial,0,"['chicken quesadilla', 'steak garlic nacho fries', 'soft taco']","['mug root beer', 'baja blast', 'pepsi']",1.0,6.0,4.0
5258,TX,M,22.0,Student,1,14782,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,15 sec YouTube ad,1,"['steak garlic nacho fries', 'mexican pizza', 'mexican pizza', 'steak garlic nacho fries', 'nachos bellgrande', 'cravings box', 'mexican pizza', 'soft taco', 'spicy potato soft taco']","['baja blast', 'brisk']",2.0,7.0,1.0
9968,WV,M,44.0,Retail,1,45866,BOGO - Baja Blast,30 sec Hulu commercial,0,"['chalupa supreme', 'cheesy bean and rice burrito']","['mountain dew', 'diet pepsi']",0.0,5.0,4.0
7602,UT,F,30.0,Government,1,67085,DISCOUNT-50%,Instagram photo ad,1,"['crunchy taco', 'chalupa supreme']","['starry', 'mug root beer']",0.0,6.0,0.0
8957,AR,M,41.0,Food Service,1,38310,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries']","['starry', 'starry']",2.0,2.0,1.0
4520,IA,M,40.0,IT,4,154690,BOGO - Baja Blast,Instagram photo ad,1,"['cheesy gordita crunch', 'crunchwrap supreme', 'cravings box', 'spicy potato soft taco', 'spicy potato soft taco']","['baja blast', 'baja blast', 'starry', 'gatorade', 'mug root beer']",0.0,5.0,0.0
5685,IN,F,59.0,Government,3,126727,DISCOUNT-20%,Static Facebook ad,1,"['beefy 5 layer burrito', 'spicy potato soft taco', 'chalupa supreme', 'cheesy gordita crunch']","['brisk', 'pepsi', 'pepsi', 'diet pepsi']",0.0,0.0,3.0
3868,NC,F,24.0,Government,2,52364,BOGO - Garlic Steak Nacho Fries,15 sec YouTube ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries', 'chalupa supreme']","['baja blast', 'mug root beer', 'mountain dew']",2.0,2.0,1.0
2537,NH,F,38.0,Other,0,66067,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Instagram photo ad,0,['nachos bellgrande'],['gatorade'],0.0,7.0,0.0
4934,WV,M,33.0,Healthcare,2,86231,REWARD - Free Baja Blast with purchase of $20 or more,Instagram photo ad,0,"['chalupa supreme', 'nachos bellgrande', 'cheesy bean and rice burrito']","['gatorade', 'brisk', 'mountain dew']",0.0,4.0,0.0
6891,NJ,M,54.0,IT,3,250000,REWARD - Free Baja Blast with purchase of $20 or more,Static Facebook ad,0,"['crunchy taco', 'cheesy bean and rice burrito', 'nachos bellgrande', 'crunchwrap supreme']","['pepsi', 'baja blast', 'iced tea', 'gatorade']",0.0,4.0,3.0
1230,KY,M,42.0,Government,0,93994,DISCOUNT-10%,15 sec YouTube ad,1,['chalupa supreme'],['baja blast'],0.0,1.0,1.0
4239,CO,F,44.0,Healthcare,3,149051,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Static Facebook ad,0,"['mexican pizza', 'chicken quesadilla', 'chicken quesadilla', 'steak garlic nacho fries']","['gatorade', 'mountain dew', 'diet pepsi', 'iced tea']",1.0,7.0,3.0
5754,PA,F,48.0,Government,1,110192,DISCOUNT-10%,Static Facebook ad,0,"['chicken quesadilla', 'beefy 5 layer burrito']","['diet pepsi', 'iced tea']",0.0,1.0,3.0
147,IN,M,37.0,Other,3,60506,DISCOUNT-50%,15 sec YouTube ad,1,"['chalupa supreme', 'soft taco', 'beefy 5 layer burrito', 'cinnamon twists']","['gatorade', 'starry', 'mug root beer', 'diet pepsi']",0.0,6.0,1.0
1620,FL,M,62.0,Government,3,137610,BOGO - Garlic Steak Nacho Fries,Newspaper ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries', 'cravings box', 'crunchy taco']","['gatorade', 'mountain dew', 'iced tea', 'iced tea']",2.0,2.0,6.0
3814,IL,F,22.0,Student,1,14663,BOGO - Garlic Steak Nacho Fries,15 sec TikTok ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries']","['mountain dew', 'diet pepsi']",2.0,2.0,5.0
8487,WY,M,34.0,Retail,3,40015,DISCOUNT-20%,Instagram photo ad,0,"['mexican pizza', 'nachos bellgrande', 'cinnamon twists', 'steak garlic nacho fries']","['baja blast', 'brisk', 'diet pepsi', 'pepsi']",1.0,0.0,0.0
1882,AR,M,60.0,IT,4,250000,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Newspaper ad,0,"['cheesy bean and rice burrito', 'steak garlic nacho fries', 'steak garlic nacho fries', 'cinnamon twists', 'cinnamon twists']","['brisk', 'mug root beer', 'baja blast', 'mountain dew', 'pepsi']",2.0,7.0,6.0
28,FL,F,65.0,Retired,2,0,REWARD - Free Baja Blast with purchase of $20 or more,Newspaper ad,0,"['beefy 5 layer burrito', 'cinnamon twists', 'chalupa supreme']","['starry', 'mountain dew', 'starry']",0.0,4.0,6.0
2819,IN,F,45.0,Food Service,3,42719,DISCOUNT-20%,Static Facebook ad,0,"['cinnamon twists', 'crunchy taco', 'nachos bellgrande', 'cravings box']","['brisk', 'starry', 'diet pepsi', 'mug root beer']",0.0,0.0,3.0
1148,WV,F,31.0,Healthcare,5,86552,DISCOUNT-50%,Instagram photo ad,1,"['beefy 5 layer burrito', 'cheesy gordita crunch', 'cinnamon twists', 'soft taco', 'spicy potato soft taco', 'cheesy gordita crunch']","['starry', 'starry', 'baja blast', 'diet pepsi', 'gatorade', 'mountain dew']",0.0,6.0,0.0
6713,NH,M,36.0,Food Service,0,32331,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,0,['cheesy bean and rice burrito'],['pepsi'],0.0,2.0,0.0
6344,CA,M,33.0,Other,2,59994,BOGO - Garlic Steak Nacho Fries,Instagram photo ad,1,"['steak garlic nacho fries', 'steak garlic nacho fries', 'steak garlic nacho fries']","['baja blast', 'baja blast', 'brisk']",3.0,2.0,0.0
5002,MT,F,37.0,Healthcare,1,109201,DISCOUNT-20%,15 sec YouTube ad,0,"['cravings box', 'cheesy gordita crunch']","['gatorade', 'iced tea']",0.0,0.0,1.0
5861,GA,F,44.0,Other,1,64300,DISCOUNT-50%,Static Facebook ad,1,"['cravings box', 'soft taco']","['gatorade', 'diet pepsi']",0.0,6.0,3.0
495,OR,F,51.0,Healthcare,2,160470,BOGO - Garlic Steak Nacho Fries,30 sec Hulu commercial,0,"['soft taco', 'cheesy gordita crunch', 'mexican pizza']","['starry', 'brisk', 'gatorade']",0.0,2.0,4.0
7509,CA,M,32.0,Food Service,3,29849,DISCOUNT-20%,Instagram photo ad,0,"['cheesy bean and rice burrito', 'beefy 5 layer burrito', 'cheesy bean and rice burrito', 'crunchy taco']","['brisk', 'mountain dew', 'gatorade', 'baja blast']",0.0,0.0,0.0
1977,FL,F,69.0,Retired,3,0,REWARD - Free Baja Blast with purchase of $20 or more,30 sec cable TV ad,0,"['crunchy taco', 'cinnamon twists', 'beefy 5 layer burrito', 'crunchwrap supreme']","['brisk', 'pepsi', 'iced tea', 'baja blast']",0.0,4.0,2.0
5098,NC,F,39.0,Government,2,76307,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,1,"['cinnamon twists', 'soft taco', 'crunchy taco', 'beefy 5 layer burrito', 'soft taco', 'cheesy gordita crunch', 'nachos bellgrande', 'nachos bellgrande']","['baja blast', 'gatorade', 'baja blast']",0.0,4.0,1.0
8520,NC,F,46.0,Government,4,100511,BOGO - Baja Blast,30 sec Hulu commercial,0,"['mexican pizza', 'crunchy taco', 'cheesy bean and rice burrito', 'soft taco', 'nachos bellgrande']","['brisk', 'baja blast', 'starry', 'iced tea', 'baja blast']",0.0,5.0,4.0
2127,FL,M,68.0,Retired,3,0,REWARD - Free Baja Blast with purchase of $20 or more,30 sec cable TV ad,0,"['cheesy bean and rice burrito', 'crunchy taco', 'spicy potato soft taco', 'soft taco']","['brisk', 'brisk', 'baja blast', 'iced tea']",0.0,4.0,2.0
9884,NH,F,41.0,Government,3,87464,BOGO - Baja Blast,Instagram photo ad,1,"['chalupa supreme', 'crunchy taco', 'chicken quesadilla', 'crunchwrap supreme']","['baja blast', 'baja blast', 'pepsi', 'starry']",0.0,5.0,0.0
518,CT,F,32.0,Retail,1,34804,REWARD - Free Baja Blast with purchase of $20 or more,15 sec YouTube ad,1,"['crunchy taco', 'spicy potato soft taco', 'crunchy taco', 'chicken quesadilla', 'beefy 5 layer burrito', 'soft taco', 'cinnamon twists', 'beefy 5 layer burrito']","['baja blast', 'iced tea']",0.0,4.0,1.0
5004,CA,F,28.0,Government,2,65595,DISCOUNT-5%,Instagram photo ad,0,"['chicken quesadilla', 'steak garlic nacho fries', 'cravings box']","['diet pepsi', 'mug root beer', 'mug root beer']",1.0,3.0,0.0
2524,GA,M,28.0,Food Service,1,31108,REWARD - Free Baja Blast with purchase of $20 or more,Instagram photo ad,0,"['nachos bellgrande', 'spicy potato soft taco']","['mountain dew', 'baja blast']",0.0,4.0,0.0
8930,UT,M,51.0,Education,4,81891,BOGO - Garlic Steak Nacho Fries,30 sec Hulu commercial,1,"['steak garlic nacho fries', 'steak garlic nacho fries', 'chalupa supreme', 'cheesy gordita crunch', 'steak garlic nacho fries']","['iced tea', 'diet pepsi', 'mountain dew', 'gatorade', 'baja blast']",3.0,2.0,4.0
8601,CA,M,27.0,Retail,0,32237,DISCOUNT-5%,15 sec YouTube ad,1,['chicken quesadilla'],['pepsi'],0.0,3.0,1.0
4808,MN,M,45.0,Government,5,104645,REWARD - Free Garlic Steak Nacho Fries with purchase of $20 or more,Static Facebook ad,0,"['steak garlic nacho fries', 'steak garlic nacho fries', 'steak garlic nacho fries', 'cravings box', 'chalupa supreme', 'spicy potato soft taco']","['brisk', 'baja blast', 'iced tea', 'pepsi', 'baja blast', 'mountain dew']",3.0,7.0,3.0
9059,MI,M,28.0,Food Service,1,32510,DISCOUNT-10%,Instagram photo ad,0,"['cravings box', 'chalupa supreme']","['mountain dew', 'brisk']",0.0,1.0,0.0
